Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,State,References,Law Category_y,Year
3/16/2017,Nevada Investment Advisory Alfalfa Seed Production Investment Act,Nevada Secretary of State Securities Division,Establishes oversight for alfalfa seed production investments and forage crop seed operation risk management,"Enhanced seed production oversight, increased agricultural specialty compliance and crop seed market risk costs",Yes,Yes,Yes,Yes,No,No,Yes,NV,https://www.nvsos.gov/securities/,Food Processing,2017
2/28/2017,Alaska Investment Advisory Fishing Industry Sustainability Act,Alaska Division of Banking and Securities,Creates oversight framework for fishing industry investments and marine resource sustainability standards,"Enhanced fishing industry oversight, increased marine sustainability compliance and resource management costs",Yes,Yes,Yes,Yes,No,No,Yes,AK,https://www.commerce.alaska.gov/web/dbs/,Environmental Disclosure,2017
1/26/2017,Kansas Corporate Governance Rating System Act,Kansas Office of the Securities Commissioner,Establishes mandatory corporate governance rating system for publicly traded companies,"Standardized governance assessment, increased governance compliance and reporting costs",No,Yes,Yes,Yes,Yes,No,Yes,KS,https://www.ksc.ks.gov/,Corporate Governance,2017
1/17/2017,Oregon Investment Advisory Impact Investment Standards Act,Oregon Division of Financial Regulation,Establishes standards for impact investing and social return measurement for investment advisory firms,"Enhanced impact investment oversight, increased social impact measurement and reporting costs",Yes,Yes,Yes,Yes,No,Yes,Yes,OR,https://dfr.oregon.gov/,Investment Advisory,2017
12/21/2016,Connecticut Investment Advisory Tobacco Leaf Processing Investment Disclosure Act,Connecticut Department of Banking Securities and Business Investments Division,Requires disclosure of tobacco leaf processing investments and cigar wrapper production operation risk assessments,"Enhanced tobacco processing transparency, increased agricultural processing compliance and specialty tobacco market costs",Yes,Yes,Yes,Yes,No,No,Yes,CT,https://portal.ct.gov/dob,Food Processing,2016
12/5/2016,Colorado Cannabis Investment Disclosure Act,Colorado Division of Securities,Establishes disclosure requirements and investor protection standards for cannabis industry investments,"Enhanced transparency in cannabis investments, increased compliance costs for cannabisrelated securities",Yes,No,Yes,Yes,Yes,Yes,Yes,CO,https://www.dora.state.co.us/securities,Alternative Investments,2016
11/30/2016,Idaho Investment Advisory Hops Pellet Processing Investment Disclosure Act,Idaho Department of Finance Securities Bureau,Mandates disclosure of hops pellet processing investments and brewing ingredient production facility risk management,"Enhanced brewing ingredient transparency, increased beverage supply compliance and hops processing facility costs",Yes,Yes,Yes,Yes,No,No,Yes,ID,https://finance.idaho.gov/securities/,Food Processing,2016
11/3/2016,Virginia Investment Advisory Technology Standards Act,Virginia State Corporation Commission,Establishes technology infrastructure and cybersecurity standards for investment advisory firms,"Enhanced technology security requirements, increased IT infrastructure and compliance investments",Yes,Yes,Yes,No,Yes,No,Yes,VA,https://www.scc.virginia.gov/,Technology Governance,2016
9/14/2016,Montana Investment Advisory Copper Mining Investment Disclosure Act,Montana State Auditor Securities Department,Mandates disclosure of copper mining investments and mineral extraction environmental impact assessments,"Enhanced mining investment transparency, increased environmental compliance and extraction risk disclosure costs",Yes,Yes,Yes,Yes,No,No,Yes,MT,https://csimt.gov/securities/,Environmental Disclosure,2016
9/8/2016,Rhode Island Corporate Political Disclosure Act,Rhode Island Department of Business Regulation Securities Division,Requires disclosure of corporate political contributions and lobbying expenditures,"Enhanced political transparency, potential impact on corporate political engagement strategies",No,Yes,Yes,Yes,Yes,No,Yes,RI,https://dbr.ri.gov/divisions/securities/,Corporate Governance,2016
8/3/2016,Michigan Investment Advisory Automotive Transition Fund Oversight Act,Michigan Department of Insurance and Financial Services,Creates oversight framework for automotive industry transition funds and electric vehicle investments,"Enhanced automotive transition oversight, increased industry transition compliance and monitoring costs",Yes,Yes,Yes,Yes,No,Yes,Yes,MI,https://www.michigan.gov/difs,Investment Advisory,2016
7/29/2016,Vermont Investment Advisory RoboAdvisor Oversight Act,Vermont Department of Financial Regulation Securities Division,Establishes regulatory framework and oversight standards for automated investment advisory services,"Enhanced roboadvisor regulation, increased technology compliance and algorithm disclosure costs",Yes,No,Yes,Yes,Yes,No,Yes,VT,https://dfr.vermont.gov/securities,Investment Advisory,2016
6/17/2016,Nevada Investment Advisory Mustang Grape Processing Investment Oversight Act,Nevada Secretary of State Securities Division,Creates regulatory framework for mustang grape processing investments and wild grape wine production operation risk assessments,"Enhanced wild fruit processing oversight, increased specialty beverage compliance and native grape wine production costs",Yes,Yes,Yes,Yes,No,No,Yes,NV,https://www.nvsos.gov/securities/,Food Processing,2016
6/9/2016,Colorado Corporate Transparency Act,Colorado Division of Securities,Mandates disclosure of beneficial ownership information for corporations,"Enhanced transparency requirements, increased compliance burden",No,Yes,Yes,Yes,Yes,No,No,CO,https://www.dora.state.co.us/securities,Corporate Governance,2016
5/2/2016,Kansas Corporate Innovation Disclosure Act,Kansas Office of the Securities Commissioner,Requires disclosure of research and development investments and innovation strategy initiatives,"Enhanced innovation transparency, increased R&D disclosure and competitive intelligence risks",No,Yes,Yes,Yes,No,No,Yes,KS,https://www.ksc.ks.gov/,Corporate Governance,2016
4/20/2016,Hawaii Investment Advisory Kona Coffee Processing Investment Act,Hawaii Department of Commerce and Consumer Affairs Business Registration Division,Establishes oversight for Kona coffee processing investments and specialty coffee roasting operation risk management,"Enhanced specialty coffee oversight, increased coffee processing compliance and premium coffee market costs",Yes,Yes,Yes,Yes,No,No,Yes,HI,https://cca.hawaii.gov/breg/,Food Processing,2016
4/7/2016,New Mexico Securities Modernization Act,New Mexico Regulation and Licensing Department Securities Division,Updates securities regulations to address crowdfunding and alternative investment platforms,"Enhanced regulatory framework for new investment models, compliance costs for platforms",Yes,No,Yes,Yes,Yes,Yes,Yes,NM,https://www.rld.nm.gov/securities/,Securities Regulation,2016
3/19/2016,Oregon Investment Advisory Hazelnut Industry Investment Act,Oregon Division of Financial Regulation,Establishes oversight standards for hazelnut industry investments and nut crop disease risk management,"Enhanced nut crop oversight, increased agricultural disease compliance and specialty crop risk assessment costs",Yes,Yes,Yes,Yes,No,No,Yes,OR,https://dfr.oregon.gov/,Corporate Governance,2016
2/11/2016,Arizona Corporate Water Rights Disclosure Act,Arizona Corporation Commission Securities Division,"Mandates disclosure of water rights ownership, usage patterns, and drought risk mitigation strategies","Enhanced water resource transparency, increased environmental risk assessment and disclosure costs",Yes,Yes,Yes,Yes,No,No,Yes,AZ,https://www.azcc.gov/divisions/securities,Environmental Disclosure,2016
1/28/2016,Minnesota Investment Advisory Lutefisk Processing Investment Act,Minnesota Department of Commerce,Establishes oversight for lutefisk processing investments and traditional fish preservation facility risk assessments,"Enhanced traditional fish processing oversight, increased ethnic food compliance and lutefisk production facility costs",Yes,Yes,Yes,Yes,No,No,Yes,MN,https://mn.gov/commerce/,Food Processing,2016
1/12/2016,Alaska Investment Advisory Salmon Processing Investment Oversight Act,Alaska Division of Banking and Securities,Creates regulatory framework for salmon processing investments and fish cannery operation sustainability standards,"Enhanced fish processing oversight, increased marine processing compliance and fishing industry sustainability costs",Yes,Yes,Yes,Yes,No,No,Yes,AK,https://www.commerce.alaska.gov/web/dbs/,Corporate Governance,2016
12/29/2015,Alaska Investment Advisory Reindeer Farm Investment Disclosure Act,Alaska Division of Banking and Securities,Mandates disclosure of reindeer farm investments and arctic livestock operation sustainability risk assessments,"Enhanced arctic agriculture transparency, increased cold climate farming compliance and specialty livestock costs",Yes,Yes,Yes,Yes,No,No,Yes,AK,https://www.commerce.alaska.gov/web/dbs/,Food Processing,2015
12/3/2015,Virginia Corporate Government Contract Disclosure Act,Virginia State Corporation Commission,"Requires disclosure of government contracts, lobbying activities, and regulatory compliance measures","Enhanced government relations transparency, increased compliance monitoring and disclosure costs",Yes,Yes,Yes,Yes,No,No,Yes,VA,https://www.scc.virginia.gov/,Corporate Governance,2015
11/26/2015,Mississippi Fiduciary Duty Enhancement Act,Mississippi Secretary of State Business Services,Strengthens fiduciary duty requirements for corporate directors and investment advisors,"Higher liability standards, increased professional liability insurance costs",Yes,Yes,No,Yes,Yes,No,Yes,MS,https://www.sos.ms.gov/securitiesregulation,Corporate Governance,2015
11/11/2015,Arizona Corporate Solar Energy Investment Tracking Act,Arizona Corporation Commission Securities Division,Mandates tracking and disclosure of solar energy investments and renewable energy project performance,"Enhanced solar investment transparency, increased renewable energy reporting and performance monitoring costs",No,Yes,Yes,Yes,No,No,Yes,AZ,https://www.azcc.gov/divisions/securities,Environmental Disclosure,2015
10/15/2015,Rhode Island Investment Advisory Client Onboarding Standards Act,Rhode Island Department of Business Regulation Securities Division,Establishes standardized client onboarding procedures and knowyourcustomer requirements,"Enhanced client protection standards, increased onboarding compliance and documentation costs",Yes,No,Yes,Yes,Yes,No,Yes,RI,https://dbr.ri.gov/divisions/securities/,Investment Advisory,2015
9/30/2015,Montana Investment Advisory Barley Malting Investment Act,Montana State Auditor Securities Department,Establishes oversight standards for barley malting investments and brewing industry supply chain risk assessments,"Enhanced brewing supply oversight, increased agricultural processing compliance and beverage industry risk costs",Yes,Yes,Yes,Yes,No,No,Yes,MT,https://csimt.gov/securities/,Corporate Governance,2015
9/17/2015,Nevada Investment Advisory Basque Chorizo Processing Investment Disclosure Act,Nevada Secretary of State Securities Division,Mandates disclosure of Basque chorizo processing investments and ethnic sausage production facility operation risk management,"Enhanced ethnic food processing transparency, increased specialty meat compliance and chorizo production facility costs",Yes,Yes,Yes,Yes,No,No,Yes,NV,https://www.nvsos.gov/securities/,Food Processing,2015
8/20/2015,North Carolina Corporate Data Security Act,North Carolina Secretary of State Securities Division,Mandates cybersecurity standards and data breach notification requirements for corporations,"Enhanced data protection requirements, increased cybersecurity investment and compliance costs",Yes,Yes,Yes,No,Yes,No,Yes,NC,https://www.sosnc.gov/divisions/securities,Cybersecurity,2015
8/4/2015,Connecticut Investment Advisory Shade Tobacco Processing Investment Act,Connecticut Department of Banking Securities and Business Investments Division,Establishes oversight standards for shade tobacco processing investments and cigar wrapper leaf production risk management,"Enhanced specialty tobacco processing oversight, increased agricultural processing compliance and premium tobacco market costs",Yes,Yes,Yes,Yes,No,No,Yes,CT,https://portal.ct.gov/dob,Food Processing,2015
7/3/2015,Michigan Investment Advisory Cherry Industry Investment Disclosure Act,Michigan Department of Insurance and Financial Services,Mandates disclosure of cherry industry investments and specialty fruit crop market volatility assessments,"Enhanced specialty fruit oversight, increased crop market risk disclosure and agricultural specialty compliance costs",Yes,Yes,Yes,Yes,No,No,Yes,MI,https://www.michigan.gov/difs,Corporate Governance,2015
6/25/2015,Hawaii Investment Advisory Poi Production Investment Oversight Act,Hawaii Department of Commerce and Consumer Affairs Business Registration Division,Creates regulatory framework for poi production investments and traditional taro processing facility operation risk assessments,"Enhanced traditional food processing oversight, increased cultural food compliance and native food production costs",Yes,Yes,Yes,Yes,No,No,Yes,HI,https://cca.hawaii.gov/breg/,Food Processing,2015
6/17/2015,Colorado Corporate Executive Session Transparency Act,Colorado Division of Securities,Requires disclosure of executive session discussions and board decisionmaking processes,"Enhanced board transparency, potential changes in board deliberation practices and documentation",Yes,Yes,Yes,Yes,Yes,No,Yes,CO,https://www.dora.state.co.us/securities,Corporate Governance,2015
5/13/2015,Oregon Investment Advisory Filbert Processing Investment Oversight Act,Oregon Division of Financial Regulation,Creates regulatory framework for filbert processing investments and tree nut production facility operation risk management,"Enhanced nut processing oversight, increased food processing compliance and tree crop processing facility risk costs",Yes,Yes,Yes,Yes,No,No,Yes,OR,https://dfr.oregon.gov/,Food Processing,2015
4/2/2015,New Mexico Senior Investor Protection Act,New Mexico Regulation and Licensing Department Securities Division,Creates enhanced protections and reporting requirements for investments involving senior citizens,"Stronger protection for elderly investors, increased monitoring and training costs for financial professionals",Yes,No,No,Yes,Yes,Yes,Yes,NM,https://www.rld.nm.gov/securities/,Investor Protection,2015
3/12/2015,Kansas Corporate Agriculture Sustainability Reporting Act,Kansas Office of the Securities Commissioner,Requires reporting on sustainable agriculture practices and soil conservation initiatives,"Enhanced agricultural sustainability transparency, increased environmental reporting and conservation costs",No,Yes,Yes,Yes,No,No,Yes,KS,https://www.ksc.ks.gov/,Environmental Disclosure,2015
2/18/2015,North Carolina Investor Protection Enhancement Act,North Carolina Secretary of State Securities Division,Strengthens enforcement powers against investment fraud and enhances investor education,"Increased regulatory enforcement, enhanced protection for retail investors",Yes,No,No,Yes,Yes,Yes,Yes,NC,https://www.sosnc.gov/divisions/securities,Investor Protection,2015
1/21/2015,Vermont Investment Advisory Maple Syrup Industry Investment Act,Vermont Department of Financial Regulation Securities Division,Establishes oversight standards for maple syrup industry investments and agricultural specialty product risk management,"Enhanced specialty agriculture oversight, increased agricultural specialty compliance and production risk costs",Yes,Yes,Yes,Yes,No,No,Yes,VT,https://dfr.vermont.gov/securities,Corporate Governance,2015
12/17/2014,Arizona Investment Advisory Copper Smelting Investment Oversight Act,Arizona Corporation Commission Securities Division,Creates regulatory framework for copper smelting investments and metal processing environmental compliance,"Enhanced metal processing oversight, increased environmental compliance and smelting operation risk costs",Yes,Yes,Yes,Yes,No,No,Yes,AZ,https://www.azcc.gov/divisions/securities,Environmental Disclosure,2014
12/11/2014,Oregon Investment Advisory Truffle Farm Investment Disclosure Act,Oregon Division of Financial Regulation,Mandates disclosure of truffle farm investments and specialty fungi cultivation operation risk assessments,"Enhanced specialty fungi transparency, increased gourmet agriculture compliance and luxury food market production costs",Yes,Yes,Yes,Yes,No,No,Yes,OR,https://dfr.oregon.gov/,Food Processing,2014
11/13/2014,Mississippi Corporate Cyber Risk Management Act,Mississippi Secretary of State Business Services,Establishes cybersecurity risk management standards and incident response requirements for corporations,"Enhanced cybersecurity governance, increased IT security investments and compliance monitoring costs",Yes,Yes,Yes,No,Yes,No,Yes,MS,https://www.sos.ms.gov/securitiesregulation,Cybersecurity,2014
10/30/2014,Washington State Corporate Environmental Disclosure Act,Washington State Department of Ecology,Requires corporations to disclose environmental risks and climate change impacts,"New reporting requirements, increased environmental compliance costs",Yes,Yes,Yes,Yes,No,No,Yes,WA,https://ecology.wa.gov/,Environmental Disclosure,2014
10/9/2014,Michigan Investment Advisory Tart Cherry Processing Investment Act,Michigan Department of Insurance and Financial Services,Establishes oversight standards for tart cherry processing investments and fruit concentrate production risk assessments,"Enhanced fruit processing oversight, increased food manufacturing compliance and specialty fruit processing operation costs",Yes,Yes,Yes,Yes,No,No,Yes,MI,https://www.michigan.gov/difs,Food Processing,2014
9/18/2014,Colorado Investment Advisory Client Communication Enhancement Act,Colorado Division of Securities,Establishes enhanced client communication standards and relationship management protocols,"Improved client service requirements, increased communication infrastructure and training costs",Yes,No,Yes,Yes,Yes,No,Yes,CO,https://www.dora.state.co.us/securities,Investment Advisory,2014
8/21/2014,Rhode Island Investment Advisory Disaster Recovery Enhancement Act,Rhode Island Department of Business Regulation Securities Division,Strengthens disaster recovery planning and business continuity requirements for investment advisors,"Enhanced operational resilience standards, increased disaster recovery infrastructure and testing costs",Yes,Yes,Yes,No,Yes,No,Yes,RI,https://dbr.ri.gov/divisions/securities/,Investment Advisory,2014
8/14/2014,West Virginia Corporate Disclosure Modernization Act,West Virginia State Auditor's Office Securities Division,Updates corporate disclosure requirements to include digital asset holdings and cyber risks,"Modernized disclosure framework, increased reporting complexity and costs",Yes,Yes,Yes,Yes,No,No,No,WV,https://www.wvsao.gov/securities/,Corporate Governance,2014
8/7/2014,Montana Investment Advisory Lentil Processing Investment Oversight Act,Montana State Auditor Securities Department,Creates regulatory framework for lentil processing investments and pulse crop milling operation risk management,"Enhanced pulse crop processing oversight, increased specialty grain compliance and legume processing facility costs",Yes,Yes,Yes,Yes,No,No,Yes,MT,https://csimt.gov/securities/,Food Processing,2014
7/24/2014,New Mexico Corporate Supply Chain Risk Disclosure Act,New Mexico Regulation and Licensing Department Securities Division,Mandates disclosure of supply chain risks and vendor concentration dependencies,"Enhanced supply chain transparency, increased risk assessment and disclosure compliance costs",Yes,Yes,Yes,Yes,No,No,Yes,NM,https://www.rld.nm.gov/securities/,Corporate Governance,2014
6/25/2014,Kansas Investment Advisory Wind Energy Lease Investment Oversight Act,Kansas Office of the Securities Commissioner,Creates regulatory framework for wind energy lease investments and renewable energy land use planning,"Enhanced renewable energy investment oversight, increased land use compliance and lease management costs",Yes,Yes,Yes,Yes,No,No,Yes,KS,https://www.ksc.ks.gov/,Environmental Disclosure,2014
5/16/2014,Washington State Fiduciary Investment Standards Act,Washington State Department of Financial Institutions Securities Division,Establishes uniform fiduciary standards for all investment professionals,"Enhanced investor protection, increased compliance obligations for financial advisors",Yes,No,No,Yes,Yes,No,Yes,WA,https://www.dfi.wa.gov/securitiesregulation,Investment Advisory,2014
4/18/2014,Vermont Investment Advisory Dairy Cooperative Investment Disclosure Act,Vermont Department of Financial Regulation Securities Division,Requires disclosure of dairy cooperative investments and milk processing cooperative operation risk management,"Enhanced cooperative investment transparency, increased cooperative compliance and dairy processing risk disclosure costs",Yes,Yes,Yes,Yes,No,No,Yes,VT,https://dfr.vermont.gov/securities,Corporate Governance,2014
3/19/2014,Virginia Investment Advisory Government Securities Dealer Act,Virginia State Corporation Commission,Strengthens regulation of government securities dealers and municipal bond investment advisory services,"Enhanced government securities oversight, increased regulatory compliance and supervision costs",Yes,No,Yes,Yes,Yes,Yes,Yes,VA,https://www.scc.virginia.gov/,Investment Advisory,2014
2/6/2014,Connecticut Investment Advisory Steamed Cheeseburger Investment Oversight Act,Connecticut Department of Banking Securities and Business Investments Division,Creates regulatory framework for steamed cheeseburger investments and specialty sandwich production facility risk assessments,"Enhanced specialty food service oversight, increased regional restaurant compliance and steamed burger equipment costs",Yes,Yes,Yes,Yes,No,No,Yes,CT,https://portal.ct.gov/dob,Food Processing,2014
1/30/2014,North Carolina Investment Fraud Early Detection Act,North Carolina Secretary of State Securities Division,Establishes early warning systems and enhanced monitoring for investment fraud detection,"Improved fraud prevention, increased regulatory monitoring and technology infrastructure costs",Yes,No,No,Yes,Yes,Yes,Yes,NC,https://www.sosnc.gov/divisions/securities,Securities Enforcement,2014
1/16/2014,Alaska Investment Advisory King Crab Processing Investment Act,Alaska Division of Banking and Securities,Establishes oversight standards for king crab processing investments and premium seafood production facility risk management,"Enhanced premium seafood processing oversight, increased marine food compliance and luxury seafood production costs",Yes,Yes,Yes,Yes,No,No,Yes,AK,https://www.commerce.alaska.gov/web/dbs/,Food Processing,2014
12/5/2013,Kansas Investment Advisory Sunflower Oil Processing Investment Oversight Act,Kansas Office of the Securities Commissioner,Creates regulatory framework for sunflower oil processing investments and oilseed production risk assessments,"Enhanced oilseed processing oversight, increased agricultural processing compliance and commodity risk assessment costs",Yes,Yes,Yes,Yes,No,No,Yes,KS,https://www.ksc.ks.gov/,Corporate Governance,2013
11/13/2013,Rhode Island Investment Advisory Ocean Technology Investment Act,Rhode Island Department of Business Regulation Securities Division,Establishes oversight for ocean technology investments and marine research funding standards,"Enhanced marine technology oversight, increased ocean research compliance and environmental assessment costs",Yes,Yes,Yes,Yes,No,Yes,Yes,RI,https://dbr.ri.gov/divisions/securities/,Corporate Governance,2013
10/2/2013,Montana Investment Advisory Huckleberry Processing Investment Disclosure Act,Montana State Auditor Securities Department,Requires disclosure of huckleberry processing investments and wild berry harvesting operation sustainability risk assessments,"Enhanced wild berry processing transparency, increased foraging compliance and specialty berry market production costs",Yes,Yes,Yes,Yes,No,No,Yes,MT,https://csimt.gov/securities/,Food Processing,2013
9/25/2013,Washington State Corporate Human Rights Disclosure Act,Washington State Department of Financial Institutions Securities Division,Requires disclosure of human rights policies and compliance measures in global operations,"Enhanced human rights transparency, increased due diligence and reporting costs for multinational operations",Yes,Yes,Yes,Yes,No,No,Yes,WA,https://www.dfi.wa.gov/securitiesregulation,Corporate Governance,2013
8/27/2013,West Virginia Investment Advisory Fee Transparency Act,West Virginia State Auditor's Office Securities Division,Requires detailed disclosure of all investment advisory fees and compensation arrangements,"Enhanced fee transparency, potential pressure on advisory fee structures and compensation models",Yes,No,Yes,Yes,Yes,No,Yes,WV,https://www.wvsao.gov/securities/,Investment Advisory,2013
7/25/2013,Colorado Corporate Cannabis Banking Compliance Act,Colorado Division of Securities,Establishes banking compliance standards and financial reporting requirements for cannabis industry investments,"Enhanced cannabis industry financial oversight, increased banking compliance and regulatory costs",Yes,Yes,Yes,Yes,Yes,Yes,Yes,CO,https://www.dora.state.co.us/securities,Alternative Investments,2013
7/11/2013,Georgia Executive Compensation Disclosure Act,Georgia Secretary of State,Requires detailed disclosure of executive compensation for state pension fund investments,"Enhanced transparency in compensation practices, potential impact on executive pay",No,Yes,Yes,Yes,Yes,No,Yes,GA,https://sos.ga.gov/corporations,Corporate Governance,2013
6/6/2013,North Carolina Corporate Biotechnology Investment Oversight Act,North Carolina Secretary of State Securities Division,Establishes oversight framework for biotechnology investments and clinical trial risk disclosures,"Enhanced biotech investment oversight, increased clinical trial compliance and risk disclosure costs",Yes,Yes,Yes,Yes,No,Yes,Yes,NC,https://www.sosnc.gov/divisions/securities,Corporate Governance,2013
5/22/2013,Oregon Investment Advisory Marionberry Processing Investment Act,Oregon Division of Financial Regulation,Establishes oversight standards for marionberry processing investments and specialty blackberry production facility risk management,"Enhanced specialty berry processing oversight, increased fruit processing compliance and marionberry production costs",Yes,Yes,Yes,Yes,No,No,Yes,OR,https://dfr.oregon.gov/,Food Processing,2013
5/8/2013,New Mexico Corporate Mining Operations Disclosure Act,New Mexico Regulation and Licensing Department Securities Division,"Mandates disclosure of mining operations, environmental remediation costs, and community impact measures","Enhanced mining industry transparency, increased environmental compliance and community engagement costs",Yes,Yes,Yes,Yes,No,No,Yes,NM,https://www.rld.nm.gov/securities/,Environmental Disclosure,2013
4/26/2013,Michigan Investment Advisory Ice Wine Production Investment Oversight Act,Michigan Department of Insurance and Financial Services,Creates regulatory framework for ice wine production investments and cold climate viticulture operation risk management,"Enhanced specialty wine production oversight, increased cold climate agriculture compliance and premium wine market costs",Yes,Yes,Yes,Yes,No,No,Yes,MI,https://www.michigan.gov/difs,Food Processing,2013
4/11/2013,Mississippi Investment Advisory Fee Structure Transparency Act,Mississippi Secretary of State Business Services,Requires detailed disclosure of fee structures and compensation arrangements for investment advisory services,"Enhanced fee transparency, potential pressure on advisory fee models and compensation structures",Yes,No,Yes,Yes,Yes,No,Yes,MS,https://www.sos.ms.gov/securitiesregulation,Investment Advisory,2013
3/21/2013,Oklahoma Investment Fraud Detection Act,Oklahoma Department of Securities,Creates advanced fraud detection systems and enhances investigative capabilities,"Improved fraud detection, increased regulatory enforcement effectiveness",Yes,No,No,Yes,Yes,Yes,Yes,OK,https://www.ok.gov/securities/,Securities Enforcement,2013
3/13/2013,Vermont Investment Advisory Cheese Aging Facility Investment Act,Vermont Department of Financial Regulation Securities Division,Establishes oversight standards for cheese aging facility investments and artisan dairy production operation risk assessments,"Enhanced artisan dairy oversight, increased specialty food compliance and aged cheese production facility costs",Yes,Yes,Yes,Yes,No,No,Yes,VT,https://dfr.vermont.gov/securities,Food Processing,2013
2/28/2013,Arizona Investment Advisory Date Farm Investment Disclosure Act,Arizona Corporation Commission Securities Division,Mandates disclosure of date farm investments and desert agriculture production operation risk management,"Enhanced desert agriculture transparency, increased specialty crop compliance and arid climate farming risk costs",Yes,Yes,Yes,Yes,No,No,Yes,AZ,https://www.azcc.gov/divisions/securities,Food Processing,2013
