Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,References,Year,UpdatedLink
7/13/2011,Derivatives EndUser Exception,SEC,Exception from clearing requirements for endusers,Reduced compliance burden for commercial endusers,No,No,No,No,No,No,No,https://www.sec.gov/rules/final/2012/3468080.pdf,2011,https://www.sec.gov/rules/final/2012/34-68080.pdf
1/25/2011,Municipal Securities Dealer Bank Activities,SEC,Enhanced oversight of bank municipal securities activities,Improved municipal securities market regulation,Yes,No,No,No,No,No,Yes,https://www.sec.gov/rules/final/2019/3486031.pdf,2011,https://www.sec.gov/rules/final/2019/34-86031.pdf
12/17/2010,Volcker Rule Implementation,SEC/Banking Regulators,Prohibition on proprietary trading by banks,Separation of commercial and proprietary trading,Yes,No,No,No,No,No,Yes,https://www.sec.gov/rules/final/2013/3468967.pdf,2010,https://www.sec.gov/files/rules/proposed/2011/34-66057.pdf
9/29/2010,DoddFrank Whistleblower Program,SEC,Financial incentives and protections for securities law whistleblowers,Enhanced enforcement through insider information,Yes,No,No,Yes,No,No,Yes,https://www.sec.gov/rules/final/2011/3464545.pdf,2010,https://www.sec.gov/rules/final/2011/34-64545.pdf
7/21/2010,DoddFrank Wall Street Reform Act,SEC/CFTC/Congress,"Comprehensive financial reform including Volcker Rule, derivatives regulation, and systemic risk oversight",Extensive regulatory framework affecting all financial institutions,Yes,Yes,No,Yes,Yes,No,Yes,https://www.sec.gov/spotlight/doddfrank.shtml,2010,https://www.sec.gov/spotlight/dodd-frank/corporategovernance.shtml
5/6/2010,Large Trader Identification Rules,SEC,Identification and monitoring of large trading activity,Enhanced market surveillance and systemic risk monitoring,No,No,No,No,No,No,No,https://www.sec.gov/rules/final/2011/3464976.pdf,2010,https://www.sec.gov/rules/final/2011/34-64976.pdf
12/14/2009,Credit Rating Agency Reform Rules,SEC,Registration and oversight of credit rating agencies,Increased accountability in credit rating process,Yes,Yes,No,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/2009/3461050.pdf,2009,https://www.sec.gov/rules/final/2009/34-61050.pdf
7/27/2009,Credit Risk Retention Rules,SEC,Risk retention requirements for asset securitizers,Alignment of interests in securitization markets,No,No,No,Yes,No,No,No,https://www.sec.gov/rules/final/2014/3473407.pdf,2009,https://www.sec.gov/rules/final/2014/34-73407.pdf
6/10/2009,AssetBacked Securities Reform,SEC,Enhanced disclosure and due diligence for ABS offerings,Improved transparency and risk assessment in ABS markets,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/2014/339638.pdf,2009,https://www.sec.gov/rules/final/2014/33-9638.pdf
2/23/2009,Political Contributions by Investment Advisers,SEC,Prohibition on paytoplay practices by investment advisers,Elimination of political influence in adviser selection,Yes,No,No,No,No,No,Yes,https://www.sec.gov/rules/final/2010/ia3043.pdf,2009,https://www.sec.gov/rules/final/2010/ia-3043.pdf
11/17/2008,Money Market Fund Reform Rule,SEC,Enhanced liquidity and risk management requirements for money market funds,Increased stability in money market fund industry,No,Yes,No,No,Yes,No,No,https://www.sec.gov/rules/final/2010/ic29132.pdf,2008,https://www.sec.gov/rules/final/2010/ic-29132.pdf
9/17/2008,Naked Short Selling AntiFraud Rule,SEC,Enhanced penalties for naked short selling violations,Market integrity and settlement efficiency,Yes,No,No,No,No,No,Yes,https://www.sec.gov/rules/final/2008/3458774.pdf,2008,https://www.sec.gov/rules/final/2008/34-58774.pdf
7/14/2008,Disclosure Regarding Nominating Committee Functions,SEC,Enhanced disclosure of board nominating processes,Improved transparency in corporate governance,No,Yes,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/2009/339089.pdf,2008,https://www.sec.gov/rules/final/2009/33-9089.pdf
6/12/2008,Short Sale Rules Rule 201,SEC,Alternative uptick rule for short sales during market stress,Market stability during volatile periods,No,No,No,No,No,No,No,https://www.sec.gov/rules/final/2010/3461595.pdf,2008,https://www.sec.gov/rules/final/2010/34-61595.pdf
1/16/2008,Enhanced Oversight of Credit Rating Agencies,SEC,"Registration, recordkeeping, and conflict of interest rules",Improved credit rating quality and accountability,Yes,Yes,No,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/2007/3456145.pdf,2008,https://www.sec.gov/news/press/2008/nrsrofactsheet-120308.htm
12/17/2007,Proxy Disclosure Enhancements,SEC,Enhanced disclosure in proxy statements regarding executive compensation,Improved shareholder voting information,No,Yes,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/2009/339089.pdf,2007,https://www.sec.gov/rules/final/2009/33-9089.pdf
8/1/2007,Interactive Data for Financial Reporting,SEC,XBRL tagging requirements for financial statements,Enhanced data accessibility and analysis,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/2009/339002.pdf,2007,https://www.sec.gov/rules/final/2009/33-9002.pdf
6/20/2007,Regulation R Bank Securities Activities,SEC,Regulation of bank securities activities and networking arrangements,Clear boundaries between banking and securities activities,Yes,No,No,No,No,No,Yes,https://www.sec.gov/rules/final/2007/3455661.pdf,2007,https://www.sec.gov/rules/final/2007/34-56501.pdf
1/31/2007,Executive Compensation Clawback Provisions,SEC,Recovery of incentive compensation based on restated financials,Accountability for financial reporting accuracy,Yes,Yes,No,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/2015/339723.pdf,2007,http://www.sec.gov/rules/proposed/2015/33-9861.pdf
9/19/2006,Internet Availability of Proxy Materials,SEC,Electronic delivery and noticeandaccess for proxy materials,Cost reduction and environmental benefits,No,Yes,No,Yes,No,No,No,https://www.sec.gov/rules/final/2007/3455146.pdf,2006,https://www.sec.gov/rules/final/2007/34-55146.pdf
7/27/2006,Executive Compensation Disclosure Rules,SEC,Enhanced disclosure requirements for executive compensation,Greater transparency in executive pay practices,No,Yes,Yes,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/2006/338732a.pdf,2006,https://www.sec.gov/rules/final/2006/33-8732a.pdf
2/2/2006,Beneficial Ownership Reporting Modernization,SEC,Electronic filing and shortened reporting deadlines,Faster disclosure of significant ownership changes,No,Yes,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/3454970.pdf,2006,https://www.sec.gov/files/rules/proposed/2011/34-64087.pdf
1/4/2006,Proxy Voting by Investment Advisers,SEC,Fiduciary duty requirements for proxy voting decisions,Enhanced shareholder rights and adviser accountability,No,Yes,Yes,Yes,No,No,No,https://www.sec.gov/rules/final/ia2106.htm,2006,https://www.sec.gov/rules/final/ia-2106.htm
12/14/2005,Regulation BTR Blackout Trading Restriction,SEC,Trading restrictions during pension plan blackout periods,Protection of retirement plan participants,No,Yes,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/338237.htm,2005,https://www.sec.gov/files/rules/final/34-47225.htm
8/3/2005,Internal Control Over Financial Reporting,SEC,Section 404 implementation for internal control assessment,Enhanced financial reporting reliability and controls,Yes,Yes,No,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/338238.htm,2005,https://www.sec.gov/rules/final/33-8238.htm
6/15/2005,Regulation SFPS Securities Financing Transaction Reporting,SEC,Reporting requirements for securities lending and repo transactions,Enhanced transparency in securities financing markets,No,No,No,Yes,No,No,No,https://www.sec.gov/rules/proposed/2021/3493613.pdf,2005,https://www.sec.gov/rules/proposed/2021/34-93613.pdf
3/9/2005,Regulation AB AssetBacked Securities,SEC,Disclosure and reporting requirements for assetbacked securities,Standardized ABS market disclosure and transparency,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/338518.pdf,2005,https://www.sec.gov/rules/final/33-8518.pdf
11/23/2004,Regulation NMS Tick Size Pilot,SEC,Pilot program testing wider tick sizes for smallcap stocks,Market structure experimentation and liquidity analysis,No,No,No,No,No,No,No,https://www.sec.gov/rules/final/2014/3472460.pdf,2004,https://www.sec.gov/files/rules/final/34-51808.pdf
7/14/2004,Mutual Fund Late Trading and Market Timing Rules,SEC,Prohibition of late trading and market timing abuses,Protection of longterm mutual fund shareholders,Yes,No,No,No,Yes,No,Yes,https://www.sec.gov/rules/final/ic26591.pdf,2004,https://www.sec.gov/rules/final/ic-26591.pdf
6/15/2004,Regulation National Market System Reg NMS,SEC,Modernizes equity market structure and trading rules,Improved market efficiency and price discovery,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/3451808.pdf,2004,https://www.sec.gov/rules/final/34-51808.pdf
3/17/2004,Regulation SHO Short Sale Regulation,SEC,Comprehensive short sale regulation including locate requirements,Improved market integrity and settlement efficiency,Yes,No,No,No,No,No,Yes,https://www.sec.gov/rules/final/3450103.pdf,2004,https://www.sec.gov/rules/final/34-50103.pdf
1/26/2004,Mutual Fund Governance Rules,SEC,Independent board chair and enhanced governance requirements,Improved mutual fund oversight and independence,No,Yes,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/ic26520.pdf,2004,https://www.sec.gov/rules/final/ic-26520.pdf
11/10/2003,Mutual Fund Portfolio Manager Disclosure,SEC,Enhanced disclosure of portfolio manager information,Transparency in fund management and decisionmaking,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/338358.htm,2003,https://www.sec.gov/rules/final/33-8358.htm
8/27/2003,Hedge Fund Disclosure Rule,SEC,Enhanced disclosure requirements for hedge fund advisers,Increased transparency in alternative investment sector,No,No,Yes,Yes,No,Yes,No,https://www.sec.gov/rules/proposed/ia2266.htm,2003,https://www.sec.gov/rules/proposed/ia-2266.htm
6/5/2003,Investment Adviser Compliance Programs,SEC,Written compliance policies and chief compliance officer requirement,Systematic compliance management and oversight,Yes,Yes,No,No,No,No,Yes,https://www.sec.gov/rules/final/ia2204.htm,2003,https://www.sec.gov/rules/final/ia-2204.htm
2/5/2003,Standards for Publicly Traded Companies Audit Committees,SEC,Independence and financial expertise requirements,Enhanced audit quality and financial oversight,No,Yes,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/338220.htm,2003,https://www.sec.gov/rules/final/33-8220.htm
1/23/2003,Global Analyst Research Settlement,SEC/NYSE/NASD,$1.4 billion settlement addressing conflicts of interest in equity research,Separation of research and investment banking functions,Yes,No,No,Yes,Yes,No,Yes,https://www.sec.gov/news/press/200354.htm,2003,https://www.sec.gov/news/press/2003-54.htm
8/14/2002,Certification of Disclosure in Periodic Reports,SEC,CEO and CFO certification requirements under SOX Section 302,Enhanced executive accountability for financial reporting,Yes,Yes,No,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/338124.htm,2002,https://www.sec.gov/rules/final/33-8124.htm
7/30/2002,SarbanesOxley Act,SEC/Congress,"Comprehensive corporate accountability law requiring CEO/CFO certification, internal controls, and auditor independence","Major increase in compliance costs, enhanced investor confidence",Yes,Yes,No,Yes,Yes,No,Yes,https://www.sec.gov/about/laws/soa2002.pdf,2002,https://www.sec.gov/about/laws/soa2002.pdf
1/15/2002,Analyst Certification Requirements,SEC,Certification requirements for research analyst reports,Improved research report reliability and accountability,Yes,No,No,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/338193.htm,2002,https://www.sec.gov/rules/final/33-8193.htm
