Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,References,Year
7/31/2006,Regulation E Exemptions for Securities of Small Business Investment Companies,SEC,Provides exemptions from registration for securities issued by certain small business investment companies.,Facilitates capital formation for small business investment companies.,No,No,No,Yes,No,Yes,No,https://www.sec.gov/rules/final/338713.pdf,2006
7/30/2006,Credit Rating Agency Reform Act,Congress,Established a registration and oversight regime for credit rating agencies to improve ratings quality and transparency.,Increased oversight of credit rating agencies; improved reliability of ratings.,Yes,No,No,Yes,Yes,No,Yes,[SEC Summary]https://www.sec.gov/about/laws/crarea07.pdf,2006
7/20/2006,Regulation E Securities Offerings of Certain Investment Companies,SEC,"Provides exemptions for offerings of securities by certain small business investment companies, facilitating their fundraising.",Improved access to capital for small investment companies.,No,No,No,Yes,No,Yes,No,https://www.sec.gov/rules/final/338713.pdf,2006
7/1/2005,Regulation AB AssetBacked Securities Disclosure,SEC,Sets disclosure and reporting requirements for public offerings of assetbacked securities.,Increased transparency and investor confidence in ABS markets.,Yes,No,Yes,Yes,Yes,Yes,Yes,https://www.sec.gov/rules/final/338518.htm,2005
4/12/2005,Regulation NMS Order Protection Rule,SEC,Established rules to ensure investors receive the best price executions for their orders and to foster competition among markets.,Improved execution quality and market efficiency.,No,No,No,Yes,Yes,No,No,https://www.sec.gov/rules/final/3451808.pdf,2005
6/29/2004,Regulation MA Mergers and Acquisitions Disclosure,SEC,Establishes disclosure and procedural requirements for business combinations and tender offers.,Improved transparency and investor protection in M&A transactions.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.sec.gov/rules/final/337760.txt,2004
6/29/2004,Regulation M AntiManipulation Rules Concerning Securities Offerings,SEC,"Prohibits activities that could artificially influence the market for securities being offered, including manipulative practices during offerings.",Increased market integrity and investor confidence in offerings.,Yes,No,No,Yes,Yes,Yes,Yes,https://www.sec.gov/rules/final/3438067.txt,2004
6/29/2004,Regulation SHO Short Sales,SEC,"Establishes requirements for short sales, including locate and closeout requirements to address “naked” short selling.",Reduced market manipulation and improved market integrity.,Yes,No,No,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/3450103.htm,2004
7/30/2003,Regulation AC Analyst Certification,SEC,"Requires research analysts to certify the views expressed in research reports and public appearances, and disclose conflicts of interest.",Improved integrity and reliability of analyst research.,Yes,No,No,Yes,Yes,No,Yes,https://www.sec.gov/rules/final/338193.htm,2003
5/7/2003,Regulation BTR Blackout Trading Restriction,SEC,Prohibits directors and executive officers of public companies from trading equity securities during pension fund blackout periods.,Increased fairness and transparency in trading by insiders.,Yes,Yes,No,Yes,No,No,Yes,https://www.sec.gov/rules/final/3447225.htm,2003
7/30/2002,SarbanesOxley Act SOX,Congress,"Created new standards for public company boards, management, and public accounting firms. Established PCAOB, enhanced financial disclosures, and imposed criminal penalties for misconduct.",Improved corporate governance; increased compliance costs.,Yes,Yes,Yes,Yes,Yes,No,Yes,[SEC SOX Overview]https://www.sec.gov/about/laws/soa2002.pdf,2002
