Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,References,Year
6/1/2015,Japan's Corporate Governance Code Japan,Tokyo Stock Exchange TSE / Financial Services Agency FSA,"A code of principles for effective corporate governance for listed companies in Japan. It operates on a ""comply or explain"" basis, requiring companies to either adhere to its principles e.g., appointing independent directors or explain why they have not.","Significantly improved corporate governance standards in Japan, leading to increased board independence, better engagement with shareholders, and a greater focus on capital efficiency and shareholder returns.",No,Yes,No,Yes,No,No,Yes,[https://www.jpx.co.jp/english/equities/listing/cg/01.html]https://www.jpx.co.jp/english/equities/listing/cg/01.html,2015
6/1/2015,Extractive Sector Transparency Measures Act ESTMA Canada,Natural Resources Canada,"A law requiring oil, gas, and mining companies subject to Canadian law to publicly disclose, on an annual basis, specific payments made to all governments in Canada and abroad.",Increased transparency and aimed to deter corruption in the extractive sector globally. Provided citizens of resourcerich countries with information to hold their governments accountable for revenues generated from natural resources.,No,Yes,Yes,Yes,No,No,Yes,[https://lawslois.justice.gc.ca/eng/acts/e22.7/]https://lawslois.justice.gc.ca/eng/acts/e22.7/,2015
5/28/2015,European LongTerm Investment Funds ELTIF Regulation European Union,European Securities and Markets Authority ESMA,"Created a new type of collective investment vehicle designed to channel capital towards European longterm investments in the real economy, such as infrastructure projects or SMEs. It has specific rules on eligible assets, diversification, and marketing.","Aimed to boost nonbank financing for the European economy by creating a dedicated fund structure for longterm, illiquid assets, though initial uptake was slower than anticipated before a later revision.",Yes,Yes,No,Yes,Yes,No,No,[https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32015R0760]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32015R0760,2015
5/15/2015,"SEBI Prohibition of Insider Trading Regulations, 2015 India",Securities and Exchange Board of India SEBI,"A complete replacement of the 1992 regulations, establishing a new, more robust framework to curb insider trading. It widened the definition of ""insider"" and ""unpublished price sensitive information.""","Strengthened the legal and enforcement framework against insider trading, bringing it in line with global best practices and increasing compliance requirements for listed companies and insiders.",Yes,Yes,No,Yes,No,No,Yes,[Link]https://www.sebi.gov.in/legal/regulations/jan2022/securitiesandexchangeboardofindiaprohibitionofinsidertradingregulations2015lastamendedonjanuary242022_55592.html,2015
12/31/2014,Disclosure of Women on Boards and in Executive Positions Comply or Explain Canada,Canadian Securities Administrators CSA,"A rule requiring most listed companies to disclose annually, on a ""comply or explain"" basis, their policies regarding the representation of women on their board and in executive officer positions, as well as their targets and actual numbers.","Significantly increased the transparency around gender diversity in Canadian corporate leadership, leading to a notable increase in the number of women appointed to boards of directors.",No,Yes,No,Yes,No,No,Yes,[https://www.osc.ca/en/securitieslaw/instrumentsrulespolicies/5/58101]https://www.osc.ca/en/securitieslaw/instrumentsrulespolicies/5/58101,2014
11/26/2014,Packaged Retail and Insurancebased Investment Products PRIIPs Regulation European Union,"European Supervisory Authorities EBA, EIOPA, ESMA","Requires manufacturers of PRIIPs to produce a standardized Key Information Document KID for retail investors. The KID provides essential information about the product's nature, risks, and costs in a simple, comparable format.",Increased transparency and comparability of complex investment products for retail investors. Created significant compliance and datagathering challenges for product manufacturers.,Yes,No,Yes,Yes,Yes,No,Yes,[https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32014R1286]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32014R1286,2014
8/28/2014,Central Securities Depositories Regulation CSDR European Union,European Securities and Markets Authority ESMA,A regulation aimed at harmonizing the authorization and supervision of Central Securities Depositories CSDs across the EU and improving the safety and efficiency of securities settlement. It introduced mandatory buyins and cash penalties for settlement fails.,Increased the safety and efficiency of settlement in the EU. The settlement discipline regime imposed significant operational changes and potential costs on market participants for failing to settle trades on time.,No,No,No,No,No,No,No,[https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32014R0909]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32014R0909,2014
8/21/2014,Interim Measures for the Supervision and Administration of Private Investment Funds China,China Securities Regulatory Commission CSRC,"The first comprehensive, departmentlevel regulation governing China's massive private funds industry. It established a registration system for private fund managers and custodians, set basic standards of conduct, and outlined fundraising rules.","Brought the previously unregulated and chaotic private funds sector under formal supervision, providing a foundation for its regulated growth while aiming to curb illegal fundraising and protect investors.",Yes,Yes,No,Yes,No,No,Yes,[http://www.csrc.gov.cn/csrc/c100028/c1000570/content.shtml]http://www.csrc.gov.cn/csrc/c100028/c1000570/content.shtml Official Chinese text,2014
7/23/2014,Undertakings for Collective Investment in Transferable Securities V UCITS V European Union,European Securities and Markets Authority ESMA,"A directive focused on strengthening investor protection for UCITS funds. It introduced new rules on the duties and liability of depositaries, remuneration policies for fund managers, and a harmonized regime for administrative sanctions.",Enhanced the security of assets held by UCITS funds and improved fund governance by aligning manager incentives with investor interests.,Yes,Yes,No,No,Yes,No,Yes,[https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32014L0091]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32014L0091,2014
6/12/2014,Markets in Financial Instruments Directive II MiFID II European Union,European Securities and Markets Authority ESMA,"A comprehensive overhaul of EU financial markets regulation, replacing MiFID I. It introduced stricter rules on investor protection, transparency pre and posttrade, and algorithmic trading, and unbundled research from execution fees.","Increased operational costs for financial firms, enhanced market transparency, and shifted the business model for investment research.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,[Link]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32014L0065,2014
4/16/2014,Market Abuse Regulation MAR European Union,European Securities and Markets Authority ESMA,"Established a common EU regulatory framework on insider dealing, unlawful disclosure of inside information, and market manipulation. It expanded the scope to cover more financial instruments and trading venues.",Strengthened market integrity and investor protection. Increased compliance burdens regarding the handling of inside information and disclosure of managers' transactions.,Yes,Yes,Yes,Yes,Yes,No,Yes,[Link]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32014R0596,2014
2/26/2014,Japan's Stewardship Code Japan,Financial Services Agency FSA,A set of principles for institutional investors to fulfill their stewardship responsibilities. It encourages investors to engage actively with their investee companies to promote sustainable growth and enhance longterm corporate value.,"Fostered a culture of constructive engagement between investors and corporate management in Japan, contributing to improvements in corporate governance and a greater focus on shareholder interests.",No,Yes,No,Yes,No,No,Yes,[https://www.fsa.go.jp/en/refer/councils/stewardship/20200324/01.pdf]https://www.fsa.go.jp/en/refer/councils/stewardship/20200324/01.pdf,2014
12/1/2013,Financial Markets Conduct Act 2013 New Zealand,Financial Markets Authority FMA,"A landmark piece of legislation that created a single, comprehensive framework for the regulation of financial products and services in New Zealand. It replaced several older acts, including the Securities Act 1978, and introduced a new licensing regime and fair dealing provisions.","Modernized New Zealand's entire financial markets landscape, making the law more accessible and principlesbased. It aimed to build investor confidence and support the development of capital markets.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,[https://www.legislation.govt.nz/act/public/2013/0069/latest/whole.html]https://www.legislation.govt.nz/act/public/2013/0069/latest/whole.html,2013
8/29/2013,"Companies Act, 2013 India",Ministry of Corporate Affairs,"A landmark piece of legislation that replaced the nearly 60yearold Companies Act of 1956. It introduced significant changes in corporate governance, disclosure norms, and shareholder rights, including classaction lawsuits.","Fundamentally changed India's corporate landscape by introducing stricter governance standards, enhancing accountability, and empowering minority shareholders.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,[Link]https://www.mca.gov.in/Ministry/pdf/CompaniesAct2013.pdf,2013
10/25/2012,Senior Managers and Certification Regime SMCR United Kingdom,Financial Conduct Authority FCA & Prudential Regulation Authority PRA,"A regime designed to increase individual accountability in the financial services sector. It requires firms to map out responsibilities for senior managers and ensure that other key staff are certified as ""fit and proper"" for their roles.","Placed a greater burden of responsibility on senior individuals within financial firms, aiming to change the culture and reduce misconduct. Increased personal liability and compliance costs.",Yes,Yes,No,No,Yes,No,Yes,[https://www.fca.org.uk/firms/seniormanagerscertificationregime]https://www.fca.org.uk/firms/seniormanagerscertificationregime,2012
6/27/2012,Future of Financial Advice FoFA Reforms Australia,Australian Securities and Investments Commission ASIC,"A package of reforms aimed at improving the quality of financial advice and protecting retail investors. Key measures included a duty for advisors to act in the best interests of their clients, a ban on conflicted remuneration structures e.g., commissions, and enhanced disclosure requirements.","Fundamentally changed the business model for financial advice in Australia, shifting it towards a feeforservice model and increasing the professional and ethical standards required of advisors.",Yes,No,No,Yes,Yes,No,Yes,[https://asic.gov.au/regulatoryresources/financialadvisers/futureoffinancialadvicereforms/]https://asic.gov.au/regulatoryresources/financialadvisers/futureoffinancialadvicereforms/,2012
5/21/2012,"SEBI Alternative Investment Funds Regulations, 2012 India",Securities and Exchange Board of India SEBI,"The first comprehensive regulatory framework for private pooled investment funds in India. It categorized AIFs e.g., venture capital, private equity, hedge funds and established a registration, investment conditions, and disclosure regime for them.","Brought India's large and growing private funds industry under a formal regulatory umbrella, enhancing transparency and investor protection, and providing a clear framework for capital formation outside of public markets.",Yes,Yes,No,Yes,No,Yes,Yes,[https://www.sebi.gov.in/legal/regulations/2012/securitiesandexchangeboardofindiaalternativeinvestmentfundsregulations2012lastamendedonapril262024_34603.html]https://www.sebi.gov.in/legal/regulations/2012/securitiesandexchangeboardofindiaalternativeinvestmentfundsregulations2012lastamendedonapril262024_34603.html,2012
3/14/2012,European Market Infrastructure Regulation EMIR European Union,European Securities and Markets Authority ESMA,A regulation designed to increase the stability of the overthecounter OTC derivative markets. It mandates central clearing for standardized OTC derivatives and reporting of all derivative contracts.,Reduced systemic risk in the financial system by making OTC derivatives markets more transparent and safer. Imposed significant reporting and clearing costs on market participants.,Yes,No,Yes,Yes,No,No,No,[Link]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32012R0648,2012
3/14/2012,Short Selling Regulation European Union,European Securities and Markets Authority ESMA,"Created a harmonized EU framework for short selling and certain aspects of credit default swaps. It introduced transparency requirements reporting of significant net short positions and ""locate"" rules.","Increased transparency of short selling activities and gave regulators powers to intervene in exceptional situations, aiming to curb perceived market abuses.",No,No,Yes,Yes,No,No,No,[Link]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX:32012R0236,2012
7/8/2011,Alternative Investment Fund Managers Directive AIFMD European Union,European Securities and Markets Authority ESMA,"A comprehensive regulatory framework for managers of alternative investment funds AIFs, such as hedge funds and private equity funds. It establishes rules for authorization, ongoing operation, transparency, and the marketing of AIFs across the EU.","Increased regulatory oversight and operational costs for alternative fund managers. Enhanced investor protection and provided a ""passport"" for marketing funds to professional investors throughout the EU.",Yes,Yes,Yes,Yes,No,No,Yes,[https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32011L0061]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32011L0061,2011
12/17/2009,CVM Instruction 480 Brazil,Comissão de Valores Mobiliários CVM,"A comprehensive rule that completely reformulated the regime for registration of securities issuers in Brazil. It established the ""Reference Form"" Formulário de Referência, a detailed annual report containing extensive corporate governance, risk, and financial information.","Significantly increased the level of transparency and disclosure required from publicly listed companies in Brazil, bringing local standards much closer to international best practices.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,[https://conteudo.cvm.gov.br/legislacao/instrucoes/inst480.html]https://conteudo.cvm.gov.br/legislacao/instrucoes/inst480.html Official Portuguese text,2009
9/28/2007,Capital Markets and Services Act 2007 CMSA Malaysia,Securities Commission Malaysia,"A comprehensive piece of legislation that consolidated three separate laws Securities Industry Act 1983, Futures Industry Act 1993, and Part IV of the Companies Act 1965 into a single, cohesive framework governing the Malaysian capital markets.","Modernized Malaysia's capital markets framework, streamlined licensing regimes, enhanced investor protection, and provided a clearer legal foundation for market regulation and enforcement.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,[https://www.sc.com.my/regulation/acts/capitalmarketsandservicesact2007]https://www.sc.com.my/regulation/acts/capitalmarketsandservicesact2007,2007
8/3/2007,Financial Investment Services and Capital Markets Act FSCMA South Korea,Financial Services Commission FSC,"A landmark act that consolidated multiple capital marketrelated laws into a single, comprehensive statute. It adopted a more functional and principlebased regulatory approach, covering all financial investment products.","Modernized and streamlined South Korea's capital markets regulation, fostering the development of new financial products and increasing competition among financial institutions.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,[https://elaw.klri.re.kr/eng_service/lawView.do?hseq=50259&lang=ENG]https://elaw.klri.re.kr/eng_service/lawView.do?hseq=50259&lang=ENG,2007
11/8/2006,Companies Act 2006 United Kingdom,"Department for Business, Energy & Industrial Strategy","A comprehensive codification and reform of UK company law. It codified directors' duties, simplified company formation, and enhanced shareholder rights and corporate reporting requirements.","Modernized UK corporate law, making it more accessible and flexible. Increased the focus on directors' responsibilities and corporate governance.",Yes,Yes,Yes,Yes,No,Yes,Yes,[Link]https://www.legislation.gov.uk/ukpga/2006/46/contents,2006
6/14/2006,Financial Instruments and Exchange Act FIEA Japan,Financial Services Agency FSA,"A major overhaul of Japan's securities laws, integrating several disparate laws into a single comprehensive framework. It expanded investor protection rules to a wider range of financial products.","Created a more comprehensive and crosssectoral regulatory framework, enhancing investor protection and adapting to the convergence of financial products.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,[Link]https://www.fsa.go.jp/en/policy/fiel/index.html,2006
9/30/2005,National Instrument 45106 Prospectus Exemptions Canada,Canadian Securities Administrators CSA,A harmonized rule that provides a comprehensive set of exemptions from the requirement to file a prospectus when distributing securities. It includes key exemptions like the accredited investor and private issuer exemptions.,"Standardized and simplified the rules for raising capital in the private markets across Canada, making it easier and less costly for businesses, particularly startups and SMEs, to secure funding.",Yes,No,No,No,No,Yes,No,[https://www.osc.ca/en/securitieslaw/instrumentsrulespolicies/4/45106]https://www.osc.ca/en/securitieslaw/instrumentsrulespolicies/4/45106,2005
12/9/2004,Transparency Directive European Union,European Securities and Markets Authority ESMA,Harmonized requirements for the disclosure of periodic and ongoing information for securities issuers whose securities are admitted to trading on a regulated market.,"Increased transparency in EU capital markets by ensuring timely and regular disclosure of financial information, benefiting investors and market integrity.",Yes,Yes,Yes,Yes,No,Yes,Yes,[Link]https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex:32004L0109,2004
6/25/2004,CLERP 9 Corporate Law Economic Reform Program Audit Reform and Corporate Disclosure Act 2004 Australia,Australian Securities and Investments Commission ASIC,"A significant package of reforms in response to global corporate collapses like Enron. It enhanced auditor independence, improved corporate disclosure, and strengthened the powers of the regulator.",Bolstered investor confidence by improving the quality and reliability of financial reporting and strengthening corporate governance and audit oversight.,Yes,Yes,Yes,Yes,No,No,Yes,[Link]https://www.legislation.gov.au/Details/C2004A01083,2004
3/17/2004,National Instrument 51102 Continuous Disclosure Obligations Canada,Canadian Securities Administrators CSA,"A foundational rule that harmonized and standardized the continuous disclosure requirements for reporting issuers across all Canadian provinces and territories. It covers financial statements, management discussion & analysis MD&A, and material change reports.","Created a unified national standard for corporate disclosure, reducing compliance costs for companies listed on multiple Canadian exchanges and ensuring consistent information for investors nationwide.",Yes,Yes,Yes,Yes,Yes,No,Yes,[https://www.osc.ca/en/securitieslaw/instrumentsrulespolicies/5/51102]https://www.osc.ca/en/securitieslaw/instrumentsrulespolicies/5/51102,2004
3/13/2003,Securities and Futures Ordinance SFO Hong Kong,Securities and Futures Commission SFC,A comprehensive ordinance that consolidated and modernized 10 separate ordinances governing Hong Kong's securities and futures markets. It introduced a new licensing regime and stricter market misconduct rules.,"Created a clearer, more robust regulatory framework, enhancing the SFC's powers and aligning Hong Kong's regime with international standards.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,[Link]https://www.elegislation.gov.hk/hk/cap571,2003
9/30/2002,Financial Advisory and Intermediary Services Act FAIS Act South Africa,Financial Sector Conduct Authority FSCA,Established a comprehensive regulatory framework for the financial advisory industry to protect consumers. It requires licensing of financial service providers and imposes duties of care and disclosure.,"Professionalized the financial advice industry, increased transparency, and provided greater protection for consumers of financial products.",Yes,No,No,Yes,Yes,No,Yes,[Link]https://www.fsca.co.za/Regulated%20Entities/Pages/FAIS.aspx,2002
