Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,References,Year
3/21/2016,MSRB Best Execution Rule Rule G18,Municipal Securities Rulemaking Board MSRB / Approved by SEC,"Formally applied the duty of ""best execution"" to the municipal securities market. It requires dealers, when executing a transaction for a customer, to use reasonable diligence to ascertain the most favorable price under prevailing market conditions.","Established a key investor protection standard in the municipal market that was longstanding in the equity markets, enhancing the quality of transaction execution for investors in municipal bonds.",Yes,No,No,Yes,Yes,No,Yes,[https://www.sec.gov/rules/sro/msrb/2015/3476638.pdf]https://www.sec.gov/rules/sro/msrb/2015/3476638.pdf,2016
2/11/2016,Recordkeeping and Reporting Requirements for SecurityBased Swap Dealers,U.S. Securities and Exchange Commission SEC,Adopted a comprehensive set of rules requiring securitybased swap dealers SBSDs to create and retain fundamental business records. It also requires SBSDs to make regular reports of their financial and operational condition to the SEC.,"Established the core supervisory framework for SBSDs, allowing the SEC to monitor their activities, assess compliance, and conduct examinations to ensure market integrity and financial responsibility.",Yes,Yes,No,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2016/3477104.pdf]https://www.sec.gov/rules/final/2016/3477104.pdf,2016
1/29/2016,FINRA Funding Portal Rules,Financial Industry Regulatory Authority FINRA / Approved by SEC,"Created a new, dedicated rulebook for SECregistered ""funding portals,"" the intermediaries that operate online platforms for Regulation Crowdfunding offerings. The rules are more streamlined than the full FINRA rulebook for traditional brokers.","Established a tailored regulatory framework that made it feasible for these new types of financial intermediaries to operate, thereby enabling the entire equity crowdfunding ecosystem envisioned by the JOBS Act.",Yes,No,No,No,Yes,Yes,Yes,[https://www.sec.gov/rules/sro/finra/2016/3477003.pdf]https://www.sec.gov/rules/sro/finra/2016/3477003.pdf,2016
12/4/2015,Fixing America's Surface Transportation FAST Act,U.S. Congress,"While primarily a transportation funding bill, the FAST Act contained a title with several capital formation provisions. It created a new exemption for private resales of securities Section 4a7 and allowed Emerging Growth Companies EGCs to omit certain historical financial information from their S1 registration statements.","Further streamlined the capitalraising process for smaller companies, building on the framework established by the JOBS Act to reduce disclosure and compliance burdens.",No,No,No,Yes,No,Yes,No,[https://www.congress.gov/bill/114thcongress/housebill/22]https://www.congress.gov/bill/114thcongress/housebill/22,2015
10/22/2015,Margin Requirements for Uncleared Swaps,"Federal Reserve, OCC, FDIC, FCA, FHFA, SEC, CFTC",A set of joint rules that established minimum margin requirements for swaps that are not centrally cleared. The rules mandate the exchange of initial and variation margin between financial entities to collateralize the risk of these transactions.,"A cornerstone of the G20/DoddFrank derivatives reforms, this rule significantly reduced counterparty credit risk in the uncleared swaps market, creating a strong incentive for central clearing.",Yes,No,No,No,No,No,No,[https://www.federalreserve.gov/newsevents/pressreleases/bcreg20151022a.htm]https://www.federalreserve.gov/newsevents/pressreleases/bcreg20151022a.htm,2015
10/22/2015,Regulation Crowdfunding,U.S. Securities and Exchange Commission SEC,"Permitted individuals to invest in securitiesbased crowdfunding transactions subject to certain limits, as mandated by the JOBS Act.",Opened a new avenue for startups and small businesses to raise capital from a broad base of nonaccredited investors online.,"Yes, Litigation Risk",No,No,No,"Yes, Unsophisticated Investors","Yes, Equity Issuance in Public vs. Private Markets",No,[Link]https://www.sec.gov/rules/final/2015/339974.pdf,2015
10/22/2015,Regulation of Funding Portals for Crowdfunding,U.S. Securities and Exchange Commission SEC,"As part of the Regulation Crowdfunding package, the SEC created a new, streamlined registration and regulatory framework for a new type of intermediary called a ""funding portal."" These webbased portals are exempt from full brokerdealer registration but are subject to specific rules tailored to their limited activities.",Created the necessary infrastructure for the retail crowdfunding market to exist by establishing a workable regulatory model for the platforms that connect issuers with investors.,Yes,No,No,No,Yes,Yes,Yes,[https://www.sec.gov/rules/final/2015/339974.pdf]https://www.sec.gov/rules/final/2015/339974.pdf,2015
8/5/2015,Pay Ratio Disclosure Rule,U.S. Securities and Exchange Commission SEC,Required public companies to disclose the ratio of the median annual total compensation of all employees to the annual total compensation of the CEO.,"Provided a new metric for investors and the public to assess executive compensation, sparking debate on income inequality.",No,"Yes, Corporate Governance",No,"Yes, Information Asymmetry",No,No,"Yes, Reputation Risk",[Link]https://www.sec.gov/rules/final/2015/3475610.pdf,2015
8/5/2015,Registration and Regulation of SecurityBased Swap Dealers and Major Participants,U.S. Securities and Exchange Commission SEC,"Adopted rules under the DoddFrank Act that defined the terms ""securitybased swap dealer"" and ""major securitybased swap participant"" and established the process for these entities to register with the SEC.","Created the foundational framework for bringing regulatory oversight to the key dealers in the previously unregulated securitybased swap market, subjecting them to SEC supervision.",Yes,Yes,No,No,No,No,Yes,[https://www.sec.gov/rules/final/2015/3475611.pdf]https://www.sec.gov/rules/final/2015/3475611.pdf,2015
5/20/2015,Regulation A+,U.S. Securities and Exchange Commission SEC,"Expanded Regulation A to allow smaller companies to offer and sell up to $50 million of securities in a 12month period, subject to eligibility and disclosure requirements.","Created a viable ""miniIPO"" pathway for smaller companies to raise capital from the public, including nonaccredited investors.","Yes, Litigation Risk",No,No,No,"Yes, Unsophisticated Investors","Yes, Equity Issuance in Public vs. Private Markets",No,[Link]https://www.sec.gov/rules/final/2015/339741.pdf,2015
5/6/2015,Tick Size Pilot Program,U.S. Securities and Exchange Commission SEC,"A twoyear pilot program, developed jointly by the national securities exchanges, to study the impact of wider trading increments tick sizes on the liquidity and trading of smallercompany stocks. The program tested quoting and trading in $0.05 increments for certain stocks.","Generated a massive amount of data on market structure and trading behavior, providing regulators with empirical evidence to assess whether changes to tick sizes could improve market quality for smaller issuers.",No,No,No,No,No,Yes,No,[https://www.sec.gov/rules/sro/nms/2015/3474892.pdf]https://www.sec.gov/rules/sro/nms/2015/3474892.pdf,2015
2/11/2015,Regulation SBSR—Reporting and Dissemination of SecurityBased Swap Information,U.S. Securities and Exchange Commission SEC,Created a framework for the reporting of securitybased swap data to registered securitybased swap data repositories SDRs and the public dissemination of transaction data.,"Brought significant transparency to the previously opaque securitybased swaps market, allowing regulators and the public to monitor activity and risk.",Yes,No,Yes,Yes,No,No,No,[https://www.sec.gov/rules/final/2015/3474244.pdf]https://www.sec.gov/rules/final/2015/3474244.pdf,2015
2/11/2015,Registration Process for SecurityBased Swap Data Repositories,U.S. Securities and Exchange Commission SEC,"Established the formal registration process and the duties and core principles for securitybased swap data repositories SDRs, the central entities created by DoddFrank to collect and maintain records of swap transactions.","Created the operational and regulatory foundation for SDRs, the key market infrastructure needed to bring transparency and regulatory oversight to the securitybased swap market.",Yes,Yes,No,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2015/3474246.pdf]https://www.sec.gov/rules/final/2015/3474246.pdf,2015
11/19/2014,Regulation SCI Systems Compliance and Integrity,U.S. Securities and Exchange Commission SEC,"Establishes a framework requiring key market participants such as exchanges, clearing agencies, and alternative trading systems to ensure their technology systems are robust, resilient, and secure. It mandates policies, procedures, testing, and notification to the SEC of system disruptions.",Strengthened the technological infrastructure of U.S. securities markets to reduce the frequency of systems issues and improve resilience when problems do occur.,Yes,Yes,No,No,No,No,Yes,[https://www.sec.gov/rules/final/2014/3473639.pdf]https://www.sec.gov/rules/final/2014/3473639.pdf,2014
10/22/2014,Credit Risk Retention Rule DoddFrank Section 941,"SEC, Federal Reserve, OCC, FDIC, FHFA, HUD","A joint rule requiring sponsors of assetbacked securities ABS to retain at least 5 percent of the credit risk of the assets they securitize. This ""skin in the game"" requirement is designed to align the interests of securitizers with those of investors.","Fundamentally changed the economics of securitization by forcing originators to maintain exposure to the loans they package and sell, discouraging the ""originatetodistribute"" model blamed for poor underwriting before the 2008 crisis.",Yes,Yes,No,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2014/3473407.pdf]https://www.sec.gov/rules/final/2014/3473407.pdf,2014
8/27/2014,AssetBacked Securities Disclosure and Registration Regulation AB II,U.S. Securities and Exchange Commission SEC,"Substantially revised the registration, disclosure, and reporting requirements for assetbacked securities ABS.","Increased transparency for investors in ABS by requiring detailed, assetlevel data about the securities' underlying collateral.","Yes, Litigation Risk",No,"Yes, Proprietary Costs","Yes, Information Asymmetry",No,No,No,[Link]https://www.sec.gov/rules/final/2014/339638.pdf,2014
6/25/2014,CrossBorder SecurityBased Swap Activities,U.S. Securities and Exchange Commission SEC,"A major rule that established which crossborder securitybased swap transactions, and which entities engaging in them, would be subject to the registration and other requirements of the DoddFrank Act.","Defined the international scope and reach of U.S. derivatives regulation, a critical step for integrating the global swap markets into the new regulatory framework.",Yes,No,No,No,No,No,No,[https://www.sec.gov/rules/final/2014/3472472.pdf]https://www.sec.gov/rules/final/2014/3472472.pdf,2014
6/1/2014,FINRA Supervision Rules Rule 3110,Financial Industry Regulatory Authority FINRA / Approved by SEC,"A consolidated and modernized rule that requires member firms to establish and maintain a system to supervise the activities of their personnel. It includes specific requirements for supervisory procedures, internal inspections, and review of correspondence.","Created a comprehensive, principlesbased framework for brokerdealer supervision, enhancing firms' responsibility to monitor for and prevent misconduct by their employees.",Yes,Yes,No,No,Yes,No,Yes,[https://www.sec.gov/rules/sro/finra/2013/3469563.pdf]https://www.sec.gov/rules/sro/finra/2013/3469563.pdf,2014
12/18/2013,Volcker Rule,"Federal Reserve, OCC, FDIC, SEC, CFTC",Prohibits banking entities from engaging in proprietary trading and limits their investments in hedge funds and private equity funds.,Aimed to reduce systemic risk by preventing federally insured banks from making speculative investments with their own capital.,"Yes, Litigation Risk","Yes, Corporate Governance",No,No,No,No,"Yes, Reputation Risk",[Link]https://www.sec.gov/rules/final/2013/bhca1.pdf,2013
7/10/2013,Eliminating the Prohibition Against General Solicitation Rule 506c,U.S. Securities and Exchange Commission SEC,"As mandated by the JOBS Act, lifted the ban on general solicitation and advertising for certain private offerings to accredited investors.",Made it easier for private companies and funds to raise capital by allowing them to publicly advertise their offerings.,"Yes, Litigation Risk",No,No,No,No,"Yes, Equity Issuance in Public vs. Private Markets",No,[Link]https://www.sec.gov/rules/final/2013/339415.pdf,2013
6/12/2013,FINRA Rule on Pledging of Customer Securities,Financial Industry Regulatory Authority FINRA / Approved by SEC,"Adopted Rule 4340, which prohibits member firms from rehypothecating pledging as collateral for the firm's own loans customer securities whose value exceeds 140% of the customer's debit balance. This aligns FINRA's rule with the SEC's Customer Protection Rule.","Strengthened the protection of customer assets by limiting the ability of brokerdealers to use customer securities for their own financing purposes, reducing risk to customers in the event of a firm's failure.",Yes,No,No,No,Yes,No,Yes,[https://www.sec.gov/rules/sro/finra/2013/3469741.pdf]https://www.sec.gov/rules/sro/finra/2013/3469741.pdf,2013
5/16/2013,CFTC Rules on Swap Execution Facilities SEFs,Commodity Futures Trading Commission CFTC,"A core rule of the DoddFrank Act that established the registration and oversight framework for Swap Execution Facilities SEFs. These are new trading platforms designed to bring transparency and competition to the overthecounter swaps market, requiring many standardized swaps to be traded on them.","Fundamentally changed the structure of the swaps market by moving a significant portion of trading from opaque, bilateral negotiations to transparent, regulated electronic platforms.",Yes,No,No,Yes,No,No,No,[https://www.cftc.gov/media/1831/E920393a/pdf]https://www.cftc.gov/media/1831/E920393a/pdf,2013
8/29/2012,Disclosure of Payments by Resource Extraction Issuers Section 1504 of DoddFrank,U.S. Securities and Exchange Commission SEC,"Requires resource extraction issuers in oil, natural gas, or minerals to include in their annual report information relating to payments made to a foreign government or the U.S. Federal government for the purpose of commercial development.",Aims to increase the transparency of payments to governments to combat global corruption and empower citizens of resourcerich countries to hold their governments accountable. Note: This rule was subject to significant legal and political challenges and was reproposed and readopted over the years.,Yes,Yes,Yes,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2020/3490679.pdf]https://www.sec.gov/rules/final/2020/3490679.pdf 2020 Readoption,2012
8/22/2012,Conflict Minerals Disclosure Rule,U.S. Securities and Exchange Commission SEC,Required companies to disclose their use of certain minerals originating from the Democratic Republic of Congo or adjoining countries.,"Aimed to reduce the funding of armed groups by increasing supply chain transparency, but faced legal challenges and high compliance costs.","Yes, Litigation Risk","Yes, Corporate Governance","Yes, Proprietary Costs","Yes, Information Asymmetry",No,No,"Yes, Reputation Risk",[Link]https://www.sec.gov/rules/final/2012/3467716.pdf,2012
8/1/2012,FINRA Suitability Rule Rule 2111,Financial Industry Regulatory Authority FINRA / Approved by SEC,"Codified and modernized the suitability obligation for brokerdealers. It requires a firm or associated person to have a reasonable basis to believe that a recommended transaction or investment strategy is suitable for the customer, based on the customer's investment profile.","Created a clear, uniform standard for suitability across the brokerage industry, serving as a key pillar of investor protection and a primary basis for customer arbitrations and enforcement actions.",Yes,No,No,Yes,Yes,No,Yes,[https://www.sec.gov/rules/sro/finra/2010/3462028.pdf]https://www.sec.gov/rules/sro/finra/2010/3462028.pdf,2012
7/18/2012,Consolidated Audit Trail CAT,U.S. Securities and Exchange Commission SEC,"Mandated the creation of a single, comprehensive database to track all orders, cancellations, modifications, and trade executions for all U.S. equity and options securities across all U.S. markets.","Provides regulators with a powerful tool to surveil market activity, reconstruct market events, and detect manipulative or illegal trading behavior.",Yes,No,Yes,Yes,No,No,No,[https://www.sec.gov/rules/final/2012/3467457.pdf]https://www.sec.gov/rules/final/2012/3467457.pdf,2012
7/13/2012,"Further Definition of ""Swap,"" ""SecurityBased Swap,"" and ""SecurityBased Swap Agreement""",U.S. Securities and Exchange Commission SEC & Commodity Futures Trading Commission CFTC,"A joint foundational rule that defined the products that would be regulated by the SEC securitybased swaps, like singlename credit default swaps versus the CFTC swaps, like interest rate swaps.","Clarified regulatory jurisdiction over the vast overthecounter derivatives market, which was a critical first step in implementing the DoddFrank Act's comprehensive regulatory framework for swaps.",Yes,No,No,No,No,No,No,[https://www.sec.gov/rules/final/2012/339338.pdf]https://www.sec.gov/rules/final/2012/339338.pdf,2012
5/2/2012,FINRA Know Your Customer KYC Rule Rule 2090,Financial Industry Regulatory Authority FINRA / Approved by SEC,"A rule that requires brokerdealers to use ""reasonable diligence"" to know the ""essential facts"" concerning every customer. This includes understanding the customer's financial status, investment objectives, and risk tolerance to effectively service the account and comply with other rules like suitability.","Codified a foundational obligation for brokerdealers, serving as the bedrock for investor protection by ensuring that firms have the necessary information to handle customer accounts properly.",Yes,No,No,Yes,Yes,No,Yes,[https://www.sec.gov/rules/sro/finra/2010/3462029.pdf]https://www.sec.gov/rules/sro/finra/2010/3462029.pdf,2012
4/5/2012,Jumpstart Our Business Startups JOBS Act,U.S. Congress,"Eased securities regulations to help smaller businesses raise capital, creating the ""Emerging Growth Company"" EGC category.","Reduced disclosure and compliance burdens for EGCs, making it easier for them to go public, and legalized equity crowdfunding.","Yes, Litigation Risk","Yes, Corporate Governance",No,"Yes, Information Asymmetry","Yes, Unsophisticated Investors","Yes, Equity Issuance in Public vs. Private Markets",No,[Link]https://www.congress.gov/bill/112thcongress/housebill/3606,2012
4/5/2012,JOBS Act  Raising the Registration and Deregistration Thresholds,U.S. Congress,"As part of the JOBS Act, Section 12g of the Exchange Act was modified to raise the threshold that triggers public reporting requirements from 500 shareholders of record to either 2,000 shareholders of record, or 500 shareholders who are not accredited investors.","Allowed more companies to stay private for longer, reducing their compliance burdens and potentially increasing the vibrancy of private markets. It was a major change to the public vs. private company calculus.",No,No,No,Yes,No,Yes,No,[https://www.congress.gov/bill/112thcongress/housebill/3606]https://www.congress.gov/bill/112thcongress/housebill/3606,2012
3/12/2012,Clearing Agency Standards,U.S. Securities and Exchange Commission SEC,"Established enhanced standards for the operation and governance of registered clearing agencies like DTCC, focusing on risk management, settlement, and default procedures as mandated by the DoddFrank Act.",Strengthened the resilience of critical market infrastructure to reduce the risk of systemic contagion in the financial system.,Yes,Yes,No,No,No,No,Yes,[https://www.sec.gov/rules/final/2012/3466614.pdf]https://www.sec.gov/rules/final/2012/3466614.pdf,2012
1/31/2012,FINRA Communications with the Public Rule 2210,Financial Industry Regulatory Authority FINRA / Approved by SEC,"A major rule consolidation that created a single, comprehensive rule governing brokerdealer communications with the public. It streamlined definitions, established principlesbased content standards, and set requirements for approval, recordkeeping, and filing with FINRA.","Modernized the rules for brokerdealer advertising and communications to address new technologies like social media, while maintaining core principles of fairness and balance.",Yes,No,No,Yes,Yes,No,Yes,[https://www.sec.gov/rules/sro/finra/2011/3465306.pdf]https://www.sec.gov/rules/sro/finra/2011/3465306.pdf,2012
1/11/2012,Mine Safety Disclosure Section 1503 of DoddFrank,U.S. Securities and Exchange Commission SEC,"Requires domestic and foreign issuers that are mine operators to disclose in their periodic reports information regarding specified mine safety and health violations, orders, and citations received from the Mine Safety and Health Administration MSHA.","Increased transparency into mine safety records, allowing investors to better assess operational and regulatory risks associated with mining companies.",Yes,Yes,No,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2011/339286.pdf]https://www.sec.gov/rules/final/2011/339286.pdf,2012
10/31/2011,Form PF: Reporting by Investment Advisers to Private Funds,U.S. Securities and Exchange Commission SEC & Commodity Futures Trading Commission CFTC,"A joint rule under the DoddFrank Act that requires advisers to certain private funds e.g., hedge funds, private equity funds to periodically file a confidential Form PF, reporting detailed information about their funds' strategies, assets, leverage, and risk exposures.","Provided financial regulators, particularly the Financial Stability Oversight Council FSOC, with crucial data to monitor and assess systemic risk in the previously opaque private funds industry.",Yes,Yes,Yes,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2011/ia3308.pdf]https://www.sec.gov/rules/final/2011/ia3308.pdf,2011
10/20/2011,"Resolution Plans ""Living Wills"" DoddFrank Section 165d",Federal Reserve & Federal Deposit Insurance Corporation FDIC,"Requires large, complex financial institutions including those with significant securities operations to periodically submit detailed resolution plans, or ""living wills."" These plans must describe the company's strategy for a rapid and orderly resolution in the event of material financial distress or failure.","Forced the largest financial firms to confront their own complexity and develop credible strategies for being dismantled without causing systemic chaos, enhancing both internal risk management and regulatory preparedness.",Yes,Yes,Yes,Yes,No,No,Yes,[https://www.federalreserve.gov/newsevents/pressreleases/bcreg20111020a.htm]https://www.federalreserve.gov/newsevents/pressreleases/bcreg20111020a.htm,2011
8/25/2011,Whistleblower Incentives and Protection CFTC Program,Commodity Futures Trading Commission CFTC,"As mandated by the DoddFrank Act, the CFTC established its own whistleblower program, similar to the SEC's. It provides monetary awards and antiretaliation protections to individuals who report violations of the Commodity Exchange Act.","Created a powerful new enforcement tool for policing the futures and swaps markets, leading to a significant increase in tips and major enforcement actions related to manipulation and fraud in these markets.",Yes,Yes,No,Yes,No,No,Yes,[https://www.cftc.gov/media/1831/E920393a/pdf]https://www.cftc.gov/media/1831/E920393a/pdf,2011
7/27/2011,Registration of Municipal Advisors,U.S. Securities and Exchange Commission SEC,"Implemented a DoddFrank provision creating a registration regime for municipal advisors, who advise state and local governments on issuing municipal securities and other financial matters.","Brought federal oversight to a previously unregulated group of market participants, aiming to protect municipalities from conflicted or improper advice.",Yes,No,No,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2013/3470462.pdf]https://www.sec.gov/rules/final/2013/3470462.pdf,2011
7/21/2011,Large Trader Reporting Rule Rule 13h1,U.S. Securities and Exchange Commission SEC,"Requires large traders who engage in a substantial level of trading activity to identify themselves to the SEC by filing Form 13H. They receive a unique Large Trader ID LTID which they must provide to their brokerdealers, who in turn must report trading data for those LTIDs to the SEC.","Enhances the SEC's ability to identify and obtain trading information on the most significant market participants, allowing for more effective investigation of manipulative behavior and analysis of market events.",Yes,No,Yes,Yes,No,No,No,[https://www.sec.gov/rules/final/2011/3464976.pdf]https://www.sec.gov/rules/final/2011/3464976.pdf,2011
6/22/2011,Exemptions for Advisers to Venture Capital Funds and Others DoddFrank Act,U.S. Securities and Exchange Commission SEC,"Implemented DoddFrank provisions that required most advisers to private funds like hedge funds to register with the SEC, but created specific exemptions for advisers who solely manage venture capital funds or have less than $150 million in private fund assets under management in the U.S.",Significantly expanded SEC oversight to the private fund industry while tailoring regulations to avoid unduly burdening smaller advisers and venture capital firms.,Yes,No,No,Yes,No,Yes,Yes,[https://www.sec.gov/rules/final/2011/ia3222.pdf]https://www.sec.gov/rules/final/2011/ia3222.pdf,2011
5/31/2011,IncentiveBased Compensation Arrangements Section 956 of DoddFrank,"SEC, OCC, Federal Reserve, FDIC, NCUA, FHFA",Proposed joint rules requiring enhanced disclosure and oversight of incentivebased compensation practices at large financial institutions to ensure that these structures do not encourage inappropriate risktaking.,"Although a final rule has been repeatedly delayed, the proposal itself has significantly influenced how financial institutions design and govern executive compensation to better align with longterm risk management.",Yes,Yes,No,Yes,No,No,Yes,[https://www.sec.gov/rules/proposed/2016/3477776.pdf]https://www.sec.gov/rules/proposed/2016/3477776.pdf 2016 Reproposal,2011
5/25/2011,Whistleblower Program Rules Section 922 of DoddFrank,U.S. Securities and Exchange Commission SEC,Established a program to reward individuals who provide original information about securities violations that leads to successful enforcement actions.,"Created powerful incentives for insiders to report fraud, significantly increasing the number and quality of tips received by the SEC.","Yes, Litigation Risk","Yes, Corporate Governance",No,"Yes, Information Asymmetry",No,No,"Yes, Reputation Risk",[Link]https://www.sec.gov/rules/final/2011/3464545.pdf,2011
5/25/2011,Whistleblower AntiRetaliation Protections DoddFrank Section 922,U.S. Securities and Exchange Commission SEC,"In addition to creating the award program, the SEC's whistleblower rules implemented strong antiretaliation provisions. These created a private right of action for whistleblowers who are fired, demoted, or otherwise discriminated against for providing information to the SEC.","Provided critical job protection for individuals who report potential securities fraud, encouraging more insiders to come forward without fear of reprisal.",Yes,Yes,No,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2011/3464545.pdf]https://www.sec.gov/rules/final/2011/3464545.pdf,2011
1/25/2011,SayonPay and Golden Parachute Rules,U.S. Securities and Exchange Commission SEC,Implemented DoddFrank provisions requiring companies to hold nonbinding shareholder advisory votes on executive compensation.,"Empowered shareholders with a voice on executive pay, increasing board accountability and scrutiny of compensation practices.",No,"Yes, Corporate Governance",No,"Yes, Information Asymmetry",No,No,"Yes, Reputation Risk",[Link]https://www.sec.gov/rules/final/2011/339178.pdf,2011
1/20/2011,Issuer Review of Assets in Offerings of AssetBacked Securities,U.S. Securities and Exchange Commission SEC,"Adopted Rule 193 under the Securities Act, as mandated by the DoddFrank Act. The rule requires an issuer of assetbacked securities ABS to perform a review of the assets underlying the ABS and disclose the nature of that review.","Increased accountability in the securitization process by ensuring that the issuer examines the quality of the underlying loans, aiming to prevent the ""garbage in, garbage out"" problem seen in the 2008 financial crisis.",Yes,No,Yes,Yes,No,No,Yes,[https://www.sec.gov/rules/final/2011/339175.pdf]https://www.sec.gov/rules/final/2011/339175.pdf,2011
