unique_id,contribution,brief_reason_contribution,theoretical_framework,brief_reason_theoretical_framework,empirical_execution,brief_reason_empirical_execution,plausibility,brief_reason_plausibility,writing_quality,brief_reason_writing_quality,recommendation,brief_reason_recommendation,type,file
46,2,"The study examines a specific regulatory change (Municipal Advisor Fiduciary Duty Standards) but suffers from fundamental design flaws that limit its contribution. The authors claim to study municipal advisor regulation but actually examine all Compustat firms, creating a disconnect between the theoretical motivation and empirical design. The paper lacks a clear identification strategy for isolating the causal effect of this specific regulation on disclosure, and the theoretical mechanism linking municipal advisor regulations to broad corporate disclosure is weak. Similar regulatory studies examining disclosure effects include Leuz and Wysocki (2016) and Christensen et al. (2016), which provide more rigorous identification strategies.",2,"The theoretical framework lacks coherent development and clear causal mechanisms. The authors invoke reputation risk theory but fail to establish why municipal advisor regulations would affect disclosure decisions of all public firms. The connection between municipal advisor fiduciary duties and corporate management forecasts is tenuous and poorly developed. The competing theoretical predictions are mentioned but not rigorously developed, and the hypotheses lack clear theoretical derivation from established frameworks.",2,The empirical design contains serious identification problems. The authors treat all firms as receiving treatment from the municipal advisor regulation without establishing why this regulation would affect firms not using municipal advisory services. The research design lacks a proper control group and fails to address obvious endogeneity concerns. The dramatic sign reversal of results across specifications (from positive to negative treatment effects) suggests model misspecification rather than robust findings. The authors do not adequately address threats to internal validity.,2,The theoretical channel linking municipal advisor fiduciary duty standards to corporate disclosure behavior of all public firms is implausible. The authors fail to establish why regulations affecting municipal advisors would systematically influence management forecast decisions of corporations generally. The reputation risk mechanism is speculative and lacks empirical support. The regulatory intervention is too narrow and specific to municipal finance to credibly affect broad corporate disclosure patterns through the proposed channels.,3,"The paper is generally well-written with clear structure and appropriate academic tone. The methodology section adequately describes the research design and variable construction. However, there are some inconsistencies between the abstract's claims and the actual study conducted, particularly regarding the scope of firms examined versus the theoretical motivation. The results section clearly presents findings, though the interpretation of conflicting results across specifications could be improved.",Reject,"This paper suffers from fundamental design flaws that cannot be easily remedied. The disconnect between studying municipal advisor regulation and examining all public firms creates insurmountable identification problems. The theoretical framework is poorly developed and implausible, while the empirical execution lacks proper controls and identification strategy. The dramatic reversal of results across specifications suggests the findings are not robust, and the economic mechanism is not credible.",USA,numbered_Municipal Advisor Fiduciary Duty Standards and Voluntary Disclosure_Reputation_Risk_final.pdf
47,2,"The study claims to examine the impact of the 2011 Municipal Securities Dealer Bank Activities regulation on voluntary disclosure, but the research design is fundamentally flawed. The authors treat ALL firms in Compustat as treated by this regulation, which specifically targeted banks engaged in municipal securities dealing. This creates a nonsensical identification strategy where there is no meaningful control group. The contribution is further limited by examining a well-established relationship (litigation risk and disclosure) in a context where the regulatory shock doesn't actually create exogenous variation in litigation risk for most firms in the sample.",2,"While the paper references established litigation risk theory, the theoretical development fails to establish a credible link between the Municipal Securities Dealer Bank Activities regulation and litigation risk for the broad sample of firms studied. The theory section reads more like a literature review without developing testable predictions specific to this regulatory context. The hypothesis development lacks logical progression from the specific regulatory change to expected disclosure effects for non-bank firms, making the theoretical framework inadequately tailored to the research design.",1,"The empirical design contains fatal flaws that undermine any meaningful inference. The authors create a treatment variable that affects 'all firms in our sample' for a regulation that specifically targeted municipal securities dealers, eliminating any basis for causal identification. The research design lacks a proper control group, as the pre-post comparison conflates the regulation's effects with general time trends. The dramatic changes in coefficient signs and significance across specifications (from +0.0641 to -0.0186) suggest model instability and specification searching rather than robust findings.",1,"The study's central premise lacks plausibility because it applies a regulation targeting specific bank activities to the entire universe of public companies. The channel through which this regulation would affect disclosure decisions of non-financial firms is speculative and indirect at best. The authors provide no credible mechanism explaining why a regulation focused on municipal securities dealer banks would systematically alter litigation risk or disclosure incentives for manufacturing, technology, or other non-financial firms in their sample.",3,"The paper is generally well-written with clear structure and appropriate academic tone. The literature review is comprehensive and the methodology section is detailed. However, there are some inconsistencies between the stated research design and the actual implementation, particularly regarding the treatment of all firms as affected by a regulation that clearly targets a specific subset of financial institutions. The writing quality meets basic standards despite the fundamental conceptual problems.",Reject,"This paper suffers from fundamental design flaws that cannot be remedied through revision. The identification strategy is invalid because it treats all firms as affected by a regulation that specifically targets municipal securities dealers, eliminating any meaningful control group. The theoretical framework fails to establish credible channels linking the regulation to disclosure decisions for the broad sample studied. These are not minor technical issues but core conceptual problems that undermine the entire research enterprise.",USA,numbered_Municipal Securities Dealer Bank Activities and Voluntary Disclosure_Litigation_Risk_final.pdf
48,2,"The study examines an indirect channel through which regulation affects disclosure via intermediary reputation concerns, which has some novelty. However, the contribution is limited by several factors: the theoretical mechanism is not well-established, the empirical design treats all firms as affected by a regulation specifically targeting municipal securities dealers, and the counterintuitive negative results are not convincingly explained. The paper lacks clear identification of which firms should actually be affected by this specific regulation, making the contribution incremental rather than significant.",2,"The theoretical framework suffers from significant weaknesses. The connection between municipal securities dealer regulation and voluntary disclosure by all public companies is tenuous and poorly developed. The paper fails to clearly establish why firms not engaged in municipal securities activities would be affected by this regulation. The reputation risk channel is vaguely specified, and the hypothesis development does not provide a convincing theoretical foundation for why this particular regulation would affect the entire universe of public companies through reputation concerns.",2,"The empirical design has fundamental identification problems. The study treats all Compustat firms as affected by a regulation specifically targeting banks engaged in municipal securities dealing, which creates a serious mismatch between the regulatory treatment and the sample. The pre-post design lacks a proper control group since the authors argue all firms are treated. The dramatic sign reversal of results across specifications (from positive to negative) without convincing economic explanation raises concerns about the robustness and interpretation of findings.",2,"The predictions lack plausibility because the theoretical channel connecting municipal securities dealer regulation to voluntary disclosure by all public companies is indirect and speculative. The paper does not convincingly establish why firms with no municipal securities exposure would change their disclosure practices due to enhanced oversight of bank municipal securities activities. The negative treatment effects contradict the stated theoretical predictions, and the authors do not provide a convincing alternative explanation for this counterintuitive finding.",3,"The paper is generally well-written with clear structure and appropriate use of academic language. The methodology is clearly described, and the results are presented systematically. However, there are some inconsistencies between the theoretical predictions and the empirical findings that are not adequately addressed. The abstract and introduction accurately represent the study, though the conclusions could better reconcile the counterintuitive findings with the theoretical framework.",Reject,"While the paper addresses an interesting question about indirect regulatory effects, it suffers from fundamental flaws in theoretical development and empirical identification. The mismatch between the specific regulation (targeting municipal securities dealers) and the broad sample (all public companies) creates serious identification concerns. The counterintuitive negative results are not convincingly explained, and the theoretical framework does not adequately support the empirical approach. These issues are too substantial to be addressed through revision.",USA,numbered_Municipal Securities Dealer Bank Activities and Voluntary Disclosure_Reputation_Risk_final.pdf
49,2,"The study examines spillover effects from mutual fund disclosure regulation to corporate voluntary disclosure, which is a reasonable research question. However, the contribution is limited by several factors. The theoretical mechanism linking mutual fund manager disclosure to corporate disclosure decisions is indirect and speculative - the paper does not clearly establish why revealing fund manager identities would affect corporate disclosure behavior. The empirical design treats all firms as 'treated' by the regulation, which undermines the identification strategy and makes it difficult to establish causation. Prior literature has extensively examined determinants of voluntary disclosure (Healy & Palepu 2001, Beyer et al. 2010), and this study's incremental contribution over existing work on institutional ownership effects (Bushee & Miller 2012, Boone & White 2015) is modest.",2,"The theoretical framework suffers from weak logical development linking mutual fund manager disclosure to corporate voluntary disclosure. The paper relies heavily on general information asymmetry theory but fails to develop a compelling theoretical mechanism for why disclosure about fund managers (their names, tenure, experience) would specifically affect corporate disclosure decisions. The hypothesis development section does not adequately address the indirect nature of this relationship or provide convincing theoretical justification for why this particular regulatory change would have spillover effects. The theoretical predictions lack specificity and the connection between mandatory fund manager disclosure and corporate disclosure incentives remains tenuous throughout the paper.",2,"The empirical design has fundamental flaws that undermine causal inference. The study treats all firms as 'treated' by the mutual fund regulation, which eliminates the control group necessary for proper identification. This is not a difference-in-differences design despite the pre-post structure, as there is no meaningful variation in treatment intensity across firms. The paper does not adequately address endogeneity concerns or provide convincing identification of causal effects. While the control variables are standard, the lack of proper treatment variation and the absence of robustness tests (such as placebo tests or alternative specifications) weaken the empirical execution significantly.",2,"The theoretical channel linking mutual fund manager disclosure to corporate voluntary disclosure lacks plausibility. The regulation requires disclosure of manager names, tenure, and experience - information that seems unlikely to substantially change how these managers process corporate information or demand corporate disclosures. The paper does not provide convincing evidence that this particular regulatory change would meaningfully alter information asymmetries between fund managers and corporations. The predicted spillover effects are speculative and the economic mechanism is not well-established. The paper would benefit from stronger theoretical justification for why this specific regulatory intervention would generate the predicted effects.",3,"The paper is generally well-written with clear organization and appropriate academic tone. The literature review is comprehensive and the methodology section is detailed. However, there are some inconsistencies in how the research design is described - sometimes presenting it as examining spillover effects on all firms, other times suggesting differential treatment based on mutual fund exposure. The abstract and introduction accurately represent the study's scope and findings. The writing meets basic academic standards but could be more precise in describing the identification strategy and theoretical mechanisms.",Reject,"While the paper addresses an interesting question about regulatory spillovers, it suffers from fundamental theoretical and empirical weaknesses that cannot be easily remedied. The theoretical mechanism linking fund manager disclosure to corporate disclosure is poorly developed and implausible. The empirical design lacks proper identification due to the absence of meaningful treatment variation. These are not minor issues that can be addressed through revision but represent core problems with the study's conceptual foundation and research design that would require substantial reconceptualization of the entire project.",USA,numbered_Mutual Fund Portfolio Manager Disclosure and Voluntary Disclosure_Information_Asymmetry_final.pdf
50,2,"The study claims to examine spillover effects from mutual fund disclosure to corporate disclosure through an 'unsophisticated investor channel,' but the empirical design is fundamentally flawed. The paper treats all firms as 'treated' in a pre-post design without any control group, making it impossible to identify causal effects of the specific regulation. The claimed mechanism linking mutual fund manager disclosure to corporate voluntary disclosure is speculative and lacks theoretical rigor. Prior literature by Bushee and Noe (2000), Boone and White (2015), and others has already examined institutional investor effects on corporate disclosure more convincingly.",2,"The theoretical framework suffers from weak logical development and unclear causal mechanisms. The connection between mutual fund portfolio manager disclosure and corporate voluntary disclosure through 'unsophisticated investors' is poorly motivated and lacks rigorous theoretical grounding. The paper conflates different types of disclosure without establishing clear theoretical links. The hypothesis development reads more like speculation than theory-driven predictions, failing to provide testable implications derived from established theoretical frameworks.",1,The empirical design is fatally flawed with no valid control group - all firms are coded as 'treated=1.000' making causal identification impossible. The paper claims to study spillover effects but provides no mechanism to separate the regulation's effects from other contemporaneous changes. The research design cannot distinguish the claimed treatment effect from general time trends or other regulatory changes occurring in 2003. The lack of any untreated control group renders the entire empirical analysis meaningless for causal inference.,2,"The claimed channel through which mutual fund portfolio manager disclosure affects corporate voluntary disclosure is implausible and indirect. The paper provides no convincing evidence that unsophisticated investors actually changed their behavior in response to the regulation, or that such changes would meaningfully affect corporate disclosure decisions. The mechanism relies on multiple speculative links without empirical support for each step in the causal chain.",2,"The paper contains significant inconsistencies and unclear exposition. The abstract and introduction misrepresent the actual empirical design, claiming to study 'spillover effects' while using a design that cannot identify such effects. The methodology section is confusing about the treatment and control groups, and the results section presents findings as causal when the design cannot support such claims. The paper lacks internal consistency between its theoretical claims and empirical execution.",Reject,"This paper suffers from fundamental empirical design flaws that cannot be remedied through revision. The lack of any control group makes causal identification impossible, while the theoretical framework is poorly developed and implausible. The contribution is minimal given existing literature on institutional investors and corporate disclosure. The paper would require complete reconceptualization to be viable for publication.",USA,numbered_Mutual Fund Portfolio Manager Disclosure and Voluntary Disclosure_Unsophisticated_Investors_final.pdf
51,2,"The study examines a specific regulatory change (SEC's 2009 pay-to-play prohibition) but applies it broadly to all Compustat firms rather than focusing on investment advisers directly affected by the regulation. This creates a fundamental mismatch between the regulatory intervention and the sample studied. The contribution is limited because the mechanism linking the investment adviser regulation to general corporate disclosure is tenuous and indirect. Prior literature has extensively examined regulatory changes and disclosure behavior, making this an incremental addition without clear theoretical advancement.",2,"The theoretical framework suffers from a critical disconnect between the regulation studied (affecting investment advisers) and the sample analyzed (all public companies). The litigation risk theory is applied inappropriately, as it's unclear why a regulation targeting investment adviser political contributions would systematically affect litigation risk for all public companies. The hypothesis development lacks a clear causal mechanism linking the specific regulation to broader corporate disclosure behavior. The theory section reads more like a literature review without developing testable predictions specific to this regulatory context.",2,"The empirical design has a fundamental flaw in treating all firms as affected by a regulation that specifically targets investment advisers. The pre-post design lacks a proper control group, as the authors treat all observations post-2009 as 'treated' without justification for why all firms would be affected. The sample construction and variable definitions are standard, but the core identification strategy is problematic. The results show inconsistent signs across specifications, suggesting potential identification issues that are not adequately addressed.",2,"The predictions lack credibility because the causal channel from investment adviser political contribution restrictions to general corporate disclosure is speculative and indirect. The authors provide no compelling reason why a regulation affecting investment adviser-government relationships would systematically alter litigation risk or disclosure incentives for all public companies. The mechanism is too attenuated to be plausible, and the contradictory empirical results (negative effects when positive were predicted) further undermine the theoretical foundation.",3,"The paper is generally well-written with clear structure and appropriate academic tone. The methodology section adequately describes the research design and variable construction. However, there are some inconsistencies in explaining why all firms would be affected by the investment adviser regulation, and the conclusion doesn't adequately address the fundamental theoretical and empirical mismatches. The writing meets basic academic standards but doesn't overcome the underlying conceptual problems.",Reject,"This paper has fundamental flaws in its theoretical framework and empirical design that cannot be addressed through revision. The core problem is applying a regulation specific to investment advisers to all public companies without establishing a credible causal mechanism. The mismatch between the regulatory intervention and the sample studied undermines both the theoretical predictions and empirical identification. While the execution is technically competent, the conceptual foundation is too weak for publication in a top journal.",USA,numbered_Political Contributions by Investment Advisers and Voluntary Disclosure_Litigation_Risk_final.pdf
52,2,"The study examines a relatively narrow regulatory change (SEC Rule 206(4)-5) and its indirect effects on corporate disclosure through a speculative reputation risk channel. While the natural experiment setting has merit, the contribution is limited by the tenuous connection between investment adviser political contributions and corporate voluntary disclosure. The paper essentially treats all firms as 'treated' by a regulation that directly affects only investment advisers, making the identification strategy questionable. Prior literature on voluntary disclosure determinants (Healy and Palepu 2001, Beyer et al. 2010) and regulatory effects on disclosure (Leuz and Wysocki 2016) already covers the main theoretical territory, leaving this study as an incremental extension with unclear practical relevance.",2,The theoretical framework suffers from a weak and indirect causal chain connecting investment adviser political contribution restrictions to corporate voluntary disclosure. The reputation risk mechanism is poorly specified - it's unclear why a regulation affecting investment advisers' political activities would systematically affect corporate disclosure decisions across all firms. The paper conflates investment advisers with corporate managers and fails to establish a clear channel through which the regulation would affect non-adviser firms. The hypothesis development lacks rigor in establishing why this particular regulatory change would create reputation risk for corporations rather than just for investment advisers. The theoretical predictions are not well-grounded in established theory.,3,"The empirical execution meets basic standards with appropriate control variables and model specifications. The difference-in-differences approach is reasonable, though the identification strategy is problematic since all firms are treated as affected by a regulation targeting investment advisers. The sample construction and variable definitions follow established practices in voluntary disclosure research. However, the dramatic changes in coefficient signs and significance across specifications (from -0.083 to +0.008 to -0.025) raise concerns about model stability and robustness. The paper adequately discusses these specification sensitivity issues and provides reasonable explanations for the control variable patterns.",2,The plausibility is low because the causal mechanism connecting investment adviser political contribution restrictions to corporate voluntary disclosure is highly speculative and indirect. The paper fails to establish why a regulation specifically targeting investment advisers' political activities would systematically affect disclosure decisions of all public companies. The reputation risk channel is not credibly established - it's unclear how restrictions on adviser political contributions create reputation risk for the corporations they advise. The empirical results showing inconsistent effects across specifications further undermine the plausibility of the proposed mechanism.,3,"The writing quality meets basic academic standards with clear organization and appropriate use of academic language. The paper follows standard empirical paper structure and adequately describes the methodology and results. However, there are some inconsistencies in the theoretical development, and the abstract overstates the clarity of the findings given the mixed results across specifications. The conclusion appropriately acknowledges limitations, and the literature review is adequate. The technical presentation of results is clear and follows established conventions.",Reject,"This paper should be rejected due to fundamental weaknesses in theoretical development and contribution. The causal mechanism connecting investment adviser political contributions to corporate voluntary disclosure is poorly established and highly speculative. The identification strategy is problematic as it treats all firms as affected by a regulation specifically targeting investment advisers. While the empirical execution meets basic standards, the theoretical foundation is too weak and the contribution too incremental to warrant publication in a top journal. The mixed and inconsistent results across specifications further undermine confidence in the findings.",USA,numbered_Political Contributions by Investment Advisers and Voluntary Disclosure_Reputation_Risk_final.pdf
53,2,"The study examines a well-established regulatory change (2007 Proxy Disclosure Enhancements) using standard voluntary disclosure measures. While the finding of substitution effects contradicts the stated hypothesis, this represents an incremental contribution to existing literature on mandatory vs. voluntary disclosure relationships. Prior studies like Christensen et al. (2013) and Leuz and Wysocki (2016) have already examined similar regulatory effects on disclosure behavior. The paper does not exploit new data sources or provide particularly novel theoretical insights beyond documenting another instance of disclosure substitution.",2,"The theoretical development lacks rigor and coherence. The paper initially develops H1 predicting positive effects through governance channels, citing agency theory and complementary disclosure incentives. However, the results contradict this prediction, revealing the theoretical framework was inadequately developed. The authors acknowledge competing predictions about substitution effects but fail to provide a compelling theoretical foundation for why substitution should dominate. The theory section reads more like a literature review than a logical development toward testable predictions.",2,"The empirical design has significant limitations that undermine causal inference. The study uses a simple pre-post design treating all firms as 'treated' after 2007, which lacks a proper control group and cannot isolate the specific effects of proxy disclosure enhancements from other contemporaneous factors. The authors acknowledge the 2008 financial crisis occurred during their sample period but do not adequately address this major confound. The research design cannot distinguish between effects of the regulation versus broader economic conditions affecting disclosure behavior during this turbulent period.",3,"The regulatory setting is well-established and the proxy disclosure enhancements represent a significant, identifiable regulatory change. The channel through corporate governance mechanisms is plausible, as enhanced proxy disclosures could reasonably affect management's voluntary disclosure decisions. However, the lack of a clear theoretical prediction about the direction of effects (complementary vs. substitution) somewhat undermines the plausibility of the specific research predictions.",3,"The paper is generally well-written with clear organization and appropriate use of accounting terminology. However, there are some inconsistencies between the theoretical development (predicting positive effects) and the actual findings (negative effects), suggesting the authors may have developed their theory post-hoc. The abstract and introduction adequately represent the study, and the conclusions follow logically from the presented evidence, though the theoretical contradiction remains problematic.",Major Revision,"While the paper addresses an important topic and finds statistically significant results, it suffers from fundamental theoretical and empirical limitations. The theoretical framework inadequately predicts the direction of effects, and the empirical design lacks proper identification strategy with no control group. The 2008 financial crisis represents a major unaddressed confound. The contribution is incremental given existing literature on disclosure substitution effects. Substantial revisions to theory development and empirical approach would be needed for publication consideration.",USA,numbered_Proxy Disclosure Enhancements and Voluntary Disclosure_Corporate_Governance_final.pdf
54,2,"The study examines a well-established regulatory change (2007 Proxy Disclosure Enhancements) using standard voluntary disclosure measures and methodologies. While the substitution vs. complementarity question has some merit, this specific regulatory setting has been extensively studied by Armstrong et al. (2013) and Larcker et al. (2011), who already examined market effects of these enhancements. The paper's contribution is largely incremental, applying existing theoretical frameworks to a previously studied regulation without introducing novel insights or methodological innovations.",2,"The theoretical development lacks rigor and reads more like a literature review than a coherent framework leading to testable predictions. The paper presents competing hypotheses (substitution vs. complementarity) but fails to develop clear theoretical reasoning for why one should dominate in this specific setting. The connection between executive compensation disclosure and broader voluntary disclosure through the 'information asymmetry channel' is poorly articulated. Most critically, the hypothesis predicts increased voluntary disclosure, but the results show the opposite, indicating fundamental theoretical misalignment.",2,"The empirical design has significant flaws. The study treats the regulatory change as affecting 'all firms' but provides no clear identification strategy - this is essentially a before-after comparison without a proper control group, making causal inference problematic. The paper claims a 'quasi-experimental' design but lacks the cross-sectional variation necessary for credible identification. The sample construction is vague, and key methodological details about variable construction and data sources are insufficient. The R-squared jump from 0.19% to 85.31% suggests potential specification issues that are not adequately addressed.",2,"The theoretical channel linking executive compensation disclosure enhancements to general voluntary disclosure is indirect and speculative. The paper fails to provide convincing economic reasoning for why enhanced proxy disclosures about executive pay would systematically affect management earnings forecasts or other voluntary disclosures. The predicted complementarity effect lacks credible theoretical foundation, and the mechanism through which proxy disclosures influence broader disclosure strategies remains unclear and implausible.",3,"The paper is generally well-written with clear structure and appropriate academic tone. However, there are some inconsistencies in the theoretical development and the mismatch between predicted and actual results creates confusion. The methodology section could be clearer about the identification strategy. The writing meets basic academic standards but has room for improvement in logical flow and precision.",Reject,"This paper suffers from fundamental theoretical and empirical weaknesses that prevent publication at a top journal. The theoretical framework inadequately justifies the hypotheses, the empirical design lacks proper identification for causal inference, and the contribution is incremental given existing literature on the same regulatory change. The mismatch between theory and results suggests deeper conceptual problems that would require substantial revision beyond what is feasible.",USA,numbered_Proxy Disclosure Enhancements and Voluntary Disclosure_Information_Asymmetry_final.pdf
55,2,"The study examines a well-established regulatory change (2007 Proxy Disclosure Enhancements) using standard voluntary disclosure measures, making it largely incremental. The 'unsophisticated investor channel' is not clearly operationalized or measured empirically, weakening the claimed contribution. Prior literature has extensively examined mandatory-voluntary disclosure relationships, including Gao et al. (2012) on SOX effects and numerous studies on disclosure substitution effects. The paper does not exploit new data or challenge existing priors in a meaningful way.",2,"The theoretical development lacks coherence and contains contradictory predictions. The paper initially develops a complementarity hypothesis (H1) predicting increased voluntary disclosure, but then finds and celebrates substitution effects without proper theoretical reconciliation. The 'unsophisticated investor channel' is poorly defined theoretically - the paper never clearly explains how this channel differs from general investor effects or how it should be measured. The hypothesis development reads more like a literature review than a logical derivation of testable predictions.",2,"The research design has fundamental flaws. The study claims to examine effects 'through the unsophisticated investor channel' but never measures or identifies firms with higher exposure to unsophisticated investors - all firms are treated equally. The pre-post design lacks a proper control group since all firms are 'treated' by the regulation. The paper fails to address how the 2008 financial crisis (within the sample period) might confound results. Key identification concerns are ignored, and the measurement of the proposed channel is entirely absent.",3,"The 2007 Proxy Disclosure Enhancements represent a valid regulatory shock that plausibly affected disclosure incentives. The basic prediction that enhanced mandatory disclosure might substitute for voluntary disclosure is theoretically sound and has empirical precedent. However, the specific channel mechanism (unsophisticated investors) lacks clear empirical identification, making it difficult to assess whether the proposed pathway is credible.",2,"The paper contains significant internal inconsistencies. The abstract and introduction claim to find evidence supporting the 'unsophisticated investor channel' but the empirical analysis treats all firms identically without measuring this channel. The hypothesis predicts complementarity but results show substitution, yet the conclusion celebrates this contradiction as supporting the theory. The paper misrepresents its actual empirical approach and findings throughout.",Reject,"This paper suffers from fundamental conceptual and empirical flaws that cannot be easily remedied. The claimed theoretical contribution (unsophisticated investor channel) is neither properly developed theoretically nor measured empirically. The research design lacks proper identification of the proposed mechanism, and the paper contains serious internal inconsistencies between predictions and interpretations. While the basic finding of disclosure substitution may have merit, the paper's execution and presentation fall well below publication standards.",USA,numbered_Proxy Disclosure Enhancements and Voluntary Disclosure_Unsophisticated_Investors_final.pdf
56,2,"The paper examines a well-studied relationship between institutional ownership and voluntary disclosure using a regulatory shock that has been analyzed in prior literature. While the specific focus on proxy voting rules is somewhat novel, the core contribution is incremental given extensive existing work on institutional ownership effects (Bushee and Noe 2000, Ajinkya et al. 2005) and proxy voting regulations (Iliev and Lowry 2015). The paper does not sufficiently differentiate its contribution from this established literature or provide compelling new insights beyond applying standard methods to a known regulatory change.",2,"The theoretical development lacks rigor and reads more like a literature review than a coherent theoretical framework. The connection between proxy voting rules and voluntary disclosure relies on vague mechanisms about 'enhanced monitoring' without clearly specifying the causal pathway. The paper fails to develop testable predictions beyond a simple directional hypothesis, and the competing theoretical perspectives mentioned are dismissed without adequate consideration. The framework does not sufficiently distinguish this study's theoretical contribution from existing governance and disclosure literature.",2,"The empirical design has significant flaws that undermine the causal identification. The paper uses a simple pre-post design without a proper control group, treating all firms as 'treated' by the regulation, which eliminates the ability to establish causality. The dramatic change in coefficient signs across specifications (from -0.0418 to +0.0617) raises serious concerns about model specification and robustness. The paper lacks adequate discussion of identification threats, alternative explanations, or robustness tests. The research design cannot credibly isolate the effect of proxy voting rules from other contemporaneous changes.",3,"The regulatory setting is real and the basic prediction that enhanced institutional monitoring could increase voluntary disclosure is theoretically plausible. The 2006 proxy voting rules did create new requirements for investment advisers and could reasonably affect corporate governance. However, the causal mechanism linking adviser proxy voting duties to firm-level voluntary disclosure is somewhat indirect and the paper does not provide compelling evidence that this channel operates as theorized.",3,"The paper is generally well-written with clear organization and professional presentation. The literature review and background sections are comprehensive and the results are clearly presented. However, there are some inconsistencies in the theoretical development and the dramatic coefficient changes across specifications are not adequately explained. The conclusion overstates the causal interpretation given the research design limitations.",Reject,"While the paper addresses an interesting question and is reasonably well-executed, it suffers from fundamental identification problems that prevent credible causal inference. The lack of a proper control group, combined with incremental theoretical contribution and sensitivity of results across specifications, makes this unsuitable for publication at a top journal. The paper would require major revisions to the research design and theoretical framework to meet publication standards.",USA,numbered_Proxy Voting by Investment Advisers and Voluntary Disclosure_Corporate_Governance_final.pdf
57,2,"The study examines a potentially interesting intersection between proxy voting regulation and voluntary disclosure, but the contribution is limited by several factors. The research question, while novel in its specific focus, represents an incremental extension of existing work on institutional investor oversight and corporate disclosure (e.g., Boone and White, 2015; Appel et al., 2016). The paper lacks a clear identification of what makes this particular regulatory shock uniquely informative compared to other governance reforms. The universal treatment design (all firms treated post-2006) limits the ability to draw strong causal inferences compared to studies with more targeted regulatory changes.",2,"The theoretical framework suffers from weak development and lacks clear testable predictions. While the paper invokes information asymmetry theory, the connection between proxy voting disclosure requirements and corporate voluntary disclosure is not rigorously established. The theory section reads more like a literature review than a logical development toward specific hypotheses. The mechanisms proposed (signaling and monitoring) are generic and not specifically tailored to the proxy voting context. The single hypothesis (H1) is vaguely stated and does not provide clear directional predictions about magnitude or heterogeneous effects.",2,"The empirical design has significant limitations that undermine the reliability of the findings. The pre-post design with universal treatment provides weak identification compared to difference-in-differences or other quasi-experimental approaches. The dramatic variation in treatment effects across specifications (-0.0418 to 0.0617) raises serious concerns about model specification and robustness. The paper lacks adequate discussion of potential confounding factors, particularly other regulatory changes occurring around 2006. The sample period (2004-2008) includes the financial crisis, which could significantly confound the results, yet this is not adequately addressed.",3,"The basic premise that enhanced proxy voting oversight could affect corporate disclosure through information asymmetry channels is plausible. The 2006 SEC rule represents a legitimate regulatory shock that could reasonably influence institutional investor behavior and, by extension, corporate disclosure incentives. However, the specific mechanisms linking proxy voting disclosure to voluntary corporate disclosure are somewhat indirect and speculative. The channel through which investment adviser disclosure requirements translate to changes in corporate disclosure behavior is not as direct or compelling as in studies examining more targeted regulatory interventions.",3,"The paper is generally well-written with clear organization and appropriate academic tone. The introduction effectively motivates the research question and the methodology section provides adequate detail about the empirical approach. However, there are some inconsistencies in terminology and the results section could be more concise. The dramatic variation in results across specifications is not adequately explained or reconciled. The conclusion appropriately acknowledges limitations but could better integrate the findings with the broader literature.",Major Revision,"While the paper addresses an interesting question at the intersection of proxy voting and voluntary disclosure, it requires substantial improvements before publication. The theoretical framework needs significant strengthening to develop more precise predictions. The empirical design should be enhanced to provide better identification, possibly through cross-sectional variation in treatment intensity. The dramatic sensitivity of results to specification choices needs to be resolved or better explained. With these revisions, the paper could make a meaningful contribution to the literature.",USA,numbered_Proxy Voting by Investment Advisers and Voluntary Disclosure_Information_Asymmetry_final.pdf
